THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
68601,"HUNTING FOREST",Y,"An area of land, heavily though not totally covered with trees, set aside for the royal hunt by Norman and Plantagenet kings.",1,P,"-"
68602,"HUNTING LODGE",Y,"A weekend retreat for Royal parties and others, when hunting in the Royal forests, or as a viewing station for the chase.",1,P,"-"
68603,"KENNELS",Y,"A house or range of buildings in which dogs are kept, eg. hunting hounds.",1,P,"-"
68604,"KILL SITE",Y,"A Palaeolithic or Mesolithic temporary site where there is evidence to suggest animal butchery. Evidence may include animal remains and a specialized tool assemblage.",1,P,"-"
68605,"NET HOUSE",Y,"A free-standing building with enough space to hang and dry nets.",1,P,"-"
68606,"NET LOFT",Y,"A component of another building, often a house, used for storing nets.",1,P,"-"
68607,"PARK PALE",Y,"A wooden stake fence, often associated with deer hunting.",1,P,"-"
68608,"SHOOTING STAND",Y,"Position often screened by earth, stone or wood from which game is shot.",1,P,"-"
68609,"KELP PIT",Y,"A stone-lined pit in which seaweed was burnt. The calcined ashes were used in the manufacture of soap and glass, amongst other things.",1,P,"-"
68611,"ALLOTMENT",Y,"A share or portion of land, allotted to a person, often used for growing, vegetables, fruit, etc.",1,P,"-"
68612,"CAIRN",Y,"A monument featuring a bank or mound constructed primarily of stone. Use specific type where known.",1,P,"-"
68613,"CLEARANCE CAIRN",Y,"An irregularly constructed, generally unstructured, mound of stones. Often, but not necessarily, circular. Normally a by product of field clearance for agricultural purposes.",1,P,"-"
68614,"CAIRNFIELD",Y,"A group of cairns occurring within close proximity to each other. Use for instances where the majority are clearance cairns. Also index specific types where known.",1,P,"-"
68615,"COMMON LAND",Y,"Unenclosed wasteland, forest and pasture used in common by the community.",1,P,"-"
68616,"Copse",N,"-",1,N,"-"
68617,"CROFT",Y,"An enclosed piece of land adjoining a house.",1,P,"-"
68618,"CULTIVATION MARKS",Y,"Manmade marks or earthworks which provide evidence for agricultural cultivation.",1,P,"-"
68619,"PLOUGH MARKS",Y,"The subsoil traces of cultivation, presumed to have been caused by the use of a plough to till the soil.",1,P,"-"
68620,"CULTIVATION TERRACE",Y,"An area of land, usually on a slope, which has been built up to provide a flat surface for the cultivation of crops.",1,P,"-"
68621,"FARM",Y,"A tract of land, often including a farmhouse and ancillary buildings, used for the purpose of cultivation and the rearing of livestock, etc. Use more specific type where known.",1,P,"-"
