THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
70913,"Gin Wheel",N,"-",1,N,"-"
70915,"GLASS CONE",Y,"A conical brick structure in which glass articles were made.",1,P,"-"
70916,"Glass Foundry",N,"-",1,N,"-"
70917,"Glass Kiln",N,"-",1,N,"-"
70918,"GLASSHOUSE",Y,"A building made chiefly of glass, used to grow plants and fruit in. Use more specific type where possible.",1,P,"-"
70919,"Goods Depot",N,"-",1,N,"-"
70920,"SILO",Y,"A building or structure for the storage of processed minerals, chemicals or agricultural products, etc. Use more specific type where known.",1,P,"-"
70921,"Grandmontine Priory",N,"Use both terms.",1,N,"-"
70922,"Monastic Grange",N,"-",1,N,"-"
70923,"Plumbago Mine",N,"-",1,N,"-"
70924,"GRAVE COVER",Y,"Includes materials such as scattered pebbles which act as a grave covering. For a single stone use GRAVE SLAB.",1,P,"-"
70925,"Graveyard",N,"-",1,N,"-"
70927,"Sunken Featured Building",N,"-",1,N,"-"
70928,"Sunken Floored Building",N,"-",1,N,"-"
70929,"Guard Post",N,"-",1,N,"-"
70931,"Pilgrims Rest House",N,"-",1,N,"-"
70932,"Guide Plate",N,"-",1,N,"-"
70934,"Guide Post",N,"-",1,N,"-"
70935,"GULLY",Y,"A deep gutter, drain or sink.",1,P,"-"
70936,"GUN WHARF",Y,"A large, level structure, usually of stone or timber, built alongside water to allow warships to moor for the loading and unloading of guns.",1,P,"-"
70937,"Gunpowder Factory",N,"-",1,N,"-"
70938,"Powder Mill",N,"-",1,N,"-"
70940,"Habitation Site",N,"-",1,N,"-"
70942,"Hall",N,"If not domestic use specific type, eg. CHURCH HALL.",1,N,"-"
70943,"HALL HOUSE",Y,"A house consisting of a public hall with private living accommodation attached. Built from the medieval period onwards.",1,P,"-"
70944,"Halt",N,"-",1,N,"-"
70951,"Hythe",N,"-",1,N,"-"
70953,"Haulage Table Incline",N,"-",1,N,"-"
70955,"Healing Well",N,"-",1,N,"-"
70957,"Mount Pleasant Enclosure",N,"-",1,N,"-"
70958,"White Horse",N,"-",1,N,"-"
70959,"Hlaew",N,"-",1,N,"-"
70960,"Hogback",N,"-",1,N,"-"
70961,"Sacred Well",N,"-",1,N,"-"
70962,"Homestead Moat",N,"-",1,N,"-"
70964,"Hop Yard",N,"-",1,N,"-"
70969,"Horse Gin",N,"-",1,N,"-"
70970,"Horse Mill",N,"-",1,N,"-"
70971,"Horse Mounting Block",N,"-",1,N,"-"
70972,"Horse Mounting Stone",N,"-",1,N,"-"
70974,"Horse Wheel House",N,"-",1,N,"-"
70975,"HOSPICE",Y,"An establishment providing care for the terminally ill.",1,P,"-"
70976,"INFIRMARY",Y,"A building used for the care of the sick. Only to be used where part of a complex, eg. a workhouse. In such cases use with appropriate monument type.",1,P,"-"
70978,"Hospitallers Priory",N,"-",1,N,"-"
70979,"Hostelry",N,"-",1,N,"-"
70980,"Domestic Dwelling",N,"-",1,N,"-"
70981,"HOUSE OF CORRECTION",Y,"An institution for the imprisonment of vagrants and misdemeanants.",1,P,"-"
70982,"Platform House",N,"-",1,N,"-"
70983,"Howe",N,"-",1,N,"-"
70985,"Skeleton",N,"-",1,N,"-"
70986,"Royal Forest",N,"-",1,N,"-"
70987,"Lead Hush",N,"-",1,N,"-"
70988,"Hut Walls",N,"-",1,N,"-"
70990,"Stone Hut Circle",N,"-",1,N,"-"
70991,"Hut Group",N,"-",1,N,"-"
70992,"Hydraulic Power Station",N,"-",1,N,"-"
70995,"Trading Estate",N,"-",1,N,"-"
70996,"Inhabited Medieval Village",N,"-",1,N,"-"
70997,"Post Inn",N,"-",1,N,"-"
70998,"HOSTEL",Y,"A building, usually containing several dormitories, used as a cheap, short term residence. Use more specific term if known.",1,P,"-"
70999,"Inscribed Slab",N,"-",1,N,"-"
71000,"Pillar Stone",N,"-",1,N,"-"
71001,"Pre Conquest Inscribed Stone",N,"-",1,N,"-"
71002,"Interment",N,"-",1,N,"-"
71003,"Iron Mine",N,"-",1,N,"-"
71005,"Iron Smelting Site",N,"-",1,N,"-"
71007,"Ironstone Quarry",N,"-",1,N,"-"
71008,"Ironworks",N,"-",1,N,"-"
71009,"Irregular Open Field System",N,"-",1,N,"-"
71011,"Jail",N,"-",1,N,"-"
71012,"Jet Mine",N,"-",1,N,"-"
71013,"Jet Quarry",N,"-",1,N,"-"
71014,"Jougs",N,"-",1,N,"-"
71015,"Kiln Debris",N,"-",1,N,"-"
71017,"Kirk",N,"-",1,N,"-"
71020,"Knocking Mill",N,"-",1,N,"-"
71021,"Knowe",N,"-",1,N,"-"
71022,"Labyrinth",N,"-",1,N,"-"
71024,"Lake Settlement",N,"-",1,N,"-"
71026,"Landing Strip",N,"-",1,N,"-"
71027,"Landscape Garden",N,"-",1,N,"-"
71028,"Large Irregular Stone Circle",N,"-",1,N,"-"
71029,"Large Multivallate Hillfort",N,"-",1,N,"-"
71030,"Large Regular Stone Circle",N,"-",1,N,"-"
71031,"Large Stone Circle",N,"-",1,N,"-"
71032,"Large Univallate Hillfort",N,"-",1,N,"-"
71033,"LATRINE PIT",Y,"A hole dug in the ground to act as a, usually temporary, communal toilet facility.",1,P,"-"
71034,"Privy",N,"-",1,N,"-"
71035,"Law Courts",N,"-",1,N,"-"
71036,"Lazar House",N,"-",1,N,"-"
71037,"Lead Condensing Flue",N,"-",1,N,"-"
71038,"Praetorium",N,"Use both terms.",1,N,"-"
71039,"Roman Fortress",N,"Use Roman in a period field.",1,N,"-"
71041,"LETTER BOX",Y,"A box in which letters are deposited on delivery.",1,P,"-"
71043,"Light Railway",N,"-",1,N,"-"
71044,"Pharos",N,"-",1,N,"-"
71046,"Linchet",N,"-",1,N,"-"
71047,"Linear Crop Mark",N,"-",1,N,"-"
71048,"Linear Ditch",N,"-",1,N,"-"
71049,"Meandering Linear Earthwork",N,"-",1,N,"-"
71050,"Linear Village",N,"-",1,N,"-"
71051,"LOBBY ENTRY HOUSE",Y,"A late 17th - early 18th century house with a central chimney and fireplaces and a central door on the front; this door opened closely against the fireplaces, leaving a small lobby for access to the rooms.",1,P,"-"
71054,"LOCK UP",Y,"A prison used for temporary detention. The typical village lock-up was a one-storeyed, one-celled building, sometimes of round or polygonal plan.",1,P,"-"
71056,"Long Stone",N,"-",1,N,"-"
71060,"Lye Kiln",N,"-",1,N,"-"
71062,"Lynchet Field System",N,"-",1,N,"-"
71063,"Negative Lynchet",N,"-",1,N,"-"
71064,"Positive Lynchet",N,"-",1,N,"-"
71066,"Major Villa",N,"-",1,N,"-"
71067,"Manorial Site",N,"-",1,N,"-"
71069,"Mizmaze",N,"-",1,N,"-"
71072,"Megalith",N,"-",1,N,"-"
71073,"Megalithic Tomb",N,"-",1,N,"-"
71074,"Memorial Brass",N,"-",1,N,"-"
71075,"Memorial Effigy",N,"-",1,N,"-"
71076,"Memorial Seat",N,"-",1,N,"-"
71077,"Memorial Stone",N,"-",1,N,"-"
71078,"Menagerie",N,"-",1,N,"-"
71079,"Menhir",N,"-",1,N,"-"
71081,"Mill Mound",N,"-",1,N,"-"
71083,"Minehouse",N,"-",1,N,"-"
71085,"Monastic Vallum",N,"Component. Use specific type of religious house where known.",1,N,"-"
71086,"Monolith",N,"-",1,N,"-"
71087,"Long Mortuary Enclosure",N,"-",1,N,"-"
71088,"Mosaic Pavement",N,"-",1,N,"-"
71089,"Motor Track",N,"-",1,N,"-"
71090,"Motte Castle",N,"-",1,N,"-"
71091,"Motte And Bailey Castle",N,"-",1,N,"-"
71092,"Toot",N,"-",1,N,"-"
71093,"Tump",N,"-",1,N,"-"
71094,"Mounting Stone",N,"-",1,N,"-"
71095,"Small Multivallate Hillfort",N,"-",1,N,"-"
71097,"Mynchery",N,"-",1,N,"-"
71099,"NON ANTIQUITY",Y,"Use to identify a feature, previously thought to be a monument but now disproved, or to avoid erroneous identification as a monument in future. Where a feature is regarded as an antiquity, but is unclassified, use SITE.",1,P,"-"
71101,"Necropolis",N,"-",1,N,"-"
71103,"Plant Nursery",N,"-",1,N,"-"
71105,"Regular Open Field System",N,"-",1,N,"-"
71106,"Strip Cultivation",N,"-",1,N,"-"
71107,"Open Pit Mining",N,"-",1,N,"-"
71108,"Open Settlement",N,"-",1,N,"-"
71109,"Palaeolithic Open Site",N,"Use specific site type, eg. KILL SITE, where known.",1,N,"-"
71112,"Opencast Lead Workings",N,"-",1,N,"-"
71116,"Orthostat",N,"-",1,N,"-"
71119,"Pale",N,"-",1,N,"-"
71121,"Parish Stone",N,"-",1,N,"-"
71122,"Parkland",N,"-",1,N,"-"
71123,"PATH",Y,"A way made for pedestrians, especially one merely made by walking (often not specially constructed).",1,P,"-"
71126,"TOW PATH",Y,"A path running by the side of a canal or navigable river for use in towing vessels.",1,P,"-"
71127,"RAISED PAVEMENT",Y,"A pavement walkway for pedestrian use, often raised above the level of a road or path.",1,P,"-"
71128,"Turbary Site",N,"-",1,N,"-"
71129,"Peat Drying Platform",N,"-",1,N,"-"
71130,"PEAT STACK",Y,"A peat stack is the result of piling cut peat on the ground surface to dry - if the peat is not collected a peat stack may remain.",1,P,"-"
71131,"Peel Tower",N,"-",1,N,"-"
71132,"PEN",Y,"A small enclosure for cattle, sheep, swine, poultry, etc. Use more specific type where known.",1,P,"-"
71134,"Plague House",N,"-",1,N,"-"
71135,"Petroglyph",N,"-",1,N,"-"
71139,"PILLAR BOX",Y,"A hollow pillar, erected in a public place, containing a receptacle for posting letters.",1,P,"-"
71140,"Pinfold",N,"-",1,N,"-"
71141,"Pipe Kiln",N,"-",1,N,"-"
71142,"Pit Dwelling",N,"Previously interpreted as dwellings, now believed to be principally storage pits.",1,N,"-"
71147,"Planned Village",N,"-",1,N,"-"
71148,"Planned Town",N,"Where plan refers to layout (eg. grid) rather than ideological concept (eg. Chartist land Colony).",1,N,"-"
71150,"Plantation Circle",N,"-",1,N,"-"
71151,"Plantation Square",N,"-",1,N,"-"
71152,"Wall Tablet",N,"-",1,N,"-"
71153,"Xylonite Works",N,"-",1,N,"-"
71154,"Silver Plating Works",N,"-",1,N,"-"
71155,"PLEASURE GARDEN",Y,"A type of 18th century public park, with refreshment houses, concert rooms, etc.",1,P,"-"
71158,"River Police Station",N,"-",1,N,"-"
71161,"Poor House",N,"-",1,N,"-"
71162,"Sally Port",N,"-",1,N,"-"
71163,"Pot Bank",N,"-",1,N,"-"
71168,"Praetentura",N,"Use both terms.",1,N,"-"
71170,"Premonstratensian Abbey",N,"Use both terms.",1,N,"-"
71171,"Premonstratensian Priory",N,"Use PRIORY and PREMONSTRATENSIAN MONASTERY/NUNNERY.",1,N,"-"
71174,"Public Lavatory",N,"-",1,N,"-"
71175,"Urinal",N,"-",1,N,"-"
71176,"Tavern",N,"-",1,N,"-"
71181,"Stone Mine",N,"-",1,N,"-"
71182,"STONE QUARRY",Y,"An excavation from which stone for building is obtained by cutting, blasting etc.",1,P,"-"
71183,"River Quay",N,"-",1,N,"-"
71184,"Warren",N,"Use most appropriate term.",1,N,"-"
71186,"Narrow Gauge Railway",N,"-",1,N,"-"
71187,"RAILWAY CUTTING",Y,"A man-made trough or valley through a hill, carrying at its base a railway.",1,P,"-"
71188,"RAILWAY EMBANKMENT",Y,"A man-made ridge to carry a railway across a declivity or area subject to flooding.",1,P,"-"
71189,"UNDERGROUND RAILWAY",Y,"A railway which runs beneath the surface of the ground, eg. the London Underground Railway.",1,P,"-"
71190,"RAILWAY CARRIAGE SHED",Y,"A building used to house railway carriages.",1,P,"-"
71191,"RAILWAY ENGINEERING WORKS",Y,"A large site specializing in the manufacture of locomotives.",1,P,"-"
71192,"Railway Level Crossing",N,"-",1,N,"-"
71193,"SIGNAL BOX",Y,"A building on a railway system housing levers used to regulate trains on the tracks using signals and to change the points to enable a train to transfer from one track to another.",1,P,"-"
71194,"Railway Terminus",N,"-",1,N,"-"
71195,"RAILWAY WORKSHOP",Y,"An ancilliary workshop used for repairs, etc.",1,P,"-"
71201,"Wooton Style Enclosure",N,"-",1,N,"-"
71202,"RED HILL",Y,"Iron Age or Roman coastal site producing salt by boiling of seawater in fired clay pans, resulting in characteristic mounds of 'BRIQUETAGE' (see Archaeological Objects Thesaurus).",1,P,"-"
71203,"Refuse Pit",N,"-",1,N,"-"
71204,"Rick",N,"-",1,N,"-"
71205,"Rig And Furrow",N,"-",1,N,"-"
71207,"River Sluice",N,"-",1,N,"-"
71208,"River Weir",N,"-",1,N,"-"
71209,"Roman Road",N,"Use Roman in a period field.",1,N,"-"
71210,"ROASTING HEARTH",Y,"A hearth for roasting metallic ore, usually non ferrous, before smelting.",1,P,"-"
71211,"Rock Cut House",N,"-",1,N,"-"
71212,"Rodway",N,"-",1,N,"-"
71213,"Roman Barrow",N,"Use Roman in a period field.",1,N,"-"
71214,"Roman Camp",N,"Use Roman in a period field.",1,N,"-"
71217,"Roman Vexillation Fortress",N,"-",1,N,"-"
71219,"Twine Works",N,"-",1,N,"-"
71220,"Round Barrow Cemetery",N,"Use both terms.",1,N,"-"
71221,"Route Marker",N,"-",1,N,"-"
71224,"Tyre Factory",N,"-",1,N,"-"
71225,"Runic Stone",N,"-",1,N,"-"
71226,"Saddle House",N,"-",1,N,"-"
71228,"Salt Evaporation Tank",N,"-",1,N,"-"
71229,"SALTERN",Y,"A site, in which salt is obtained by boiling and evaporating salt brine or seawater in large pans. Often the only surviving evidence are the mounds formed from the waste produced by the process.",1,P,"-"
71230,"Saltings",N,"-",1,N,"-"
71231,"Saltway",N,"-",1,N,"-"
71233,"Savigniac Abbey",N,"Use both terms.",1,N,"-"
71234,"Scooped Enclosure",N,"-",1,N,"-"
71237,"Slubbing Mill",N,"-",1,N,"-"
71240,"Semaphore",N,"-",1,N,"-"
71241,"SEWAGE FARM",Y,"A farm on which liquid sewage was regularly used for irrigation as a means of sewage disposal.",1,P,"-"
71243,"Sewer Vent",N,"-",1,N,"-"
71246,"Shale Workings",N,"-",1,N,"-"
71247,"Shealing",N,"-",1,N,"-"
71249,"Shell Keep Castle",N,"-",1,N,"-"
71250,"Shiel",N,"-",1,N,"-"
71255,"Shielding",N,"-",1,N,"-"
71256,"Shifted Medieval Village",N,"Use Medieval in a period field.",1,N,"-"
71257,"Shipbuilding Works",N,"-",1,N,"-"
71258,"Shooting Butt",N,"-",1,N,"-"
71259,"Street Arcade",N,"-",1,N,"-"
71260,"Shrunken Medieval Village",N,"Use Medieval in a period field.",1,N,"-"
71261,"Shrunken Settlement",N,"-",1,N,"-"
71262,"WAY MARKER",Y,"A marker of some form used to delineate a route, especially ones associated with pilgrimages.",1,P,"-"
71263,"Sisters Of St John Priory",N,"Use both terms.",1,N,"-"
71264,"Soil Mark",N,"Use specific type of site where known.",1,N,"-"
71265,"Unclassified Site",N,"-",1,N,"-"
71266,"Iron Slag Heap",N,"-",1,N,"-"
71267,"Slight Univallate Hillfort",N,"-",1,N,"-"
71269,"Small Stone Circle",N,"-",1,N,"-"
71273,"Spelter Works",N,"-",1,N,"-"
71274,"Spinning Works",N,"-",1,N,"-"
71276,"Spring Head",N,"-",1,N,"-"
71277,"Square Barrow Cemetery",N,"Use both terms.",1,N,"-"
71278,"STAMPS",Y,"Form of ore crushing machinery associated with tin mines often wooden and water-powered.",1,P,"-"
71279,"Statuary",N,"-",1,N,"-"
71280,"Whimsey",N,"-",1,N,"-"
71281,"Steel Mill",N,"-",1,N,"-"
71282,"Stone Row",N,"-",1,N,"-"
71283,"STOWE",Y,"A type of windlass for drawing up ore.",1,P,"-"
71284,"STREAM",Y,"A natural flow or current of water issuing from a source.",1,P,"-"
71287,"Tan Pit",N,"-",1,N,"-"
71288,"Tan Yard",N,"-",1,N,"-"
71291,"Terminal Reave",N,"-",1,N,"-"
71293,"TERRACED HOUSE",Y,"A house in a line of houses attached to and adjoining one another and planned and built as one unit.",1,P,"-"
71294,"Textile Factory",N,"-",1,N,"-"
71296,"THRESHING BARN",Y,"A barn usually containing a single, central threshing floor.",1,P,"-"
71297,"Tilery",N,"-",1,N,"-"
71298,"Wooden Circle",N,"-",1,N,"-"
71299,"Timber Shed",N,"-",1,N,"-"
71300,"TIN MILL",Y,"A mill used for the processing of tin ore by crazing, stamping or smelting.",1,P,"-"
71301,"Tironian Abbey",N,"Use both terms.",1,N,"-"
71302,"Tironian Priory",N,"Use both terms.",1,N,"-"
71305,"Turnpike Boundary Marker",N,"-",1,N,"-"
71306,"Turnpike Gate",N,"-",1,N,"-"
71307,"Turnpike House",N,"-",1,N,"-"
71308,"Turnpike Road",N,"-",1,N,"-"
71310,"Tower Keep Castle",N,"-",1,N,"-"
71311,"TOWN WALL",Y,"A fortified wall surrounding a town or city.",1,P,"-"
71312,"Tramshed",N,"-",1,N,"-"
71313,"TREADMILL",Y,"A structure for producing power through a rotary motion achieved by the weight of men or animals treading on a succession of moving steps or a belt that forms a kind of continuous path.",1,P,"-"
71314,"Tree Circle",N,"-",1,N,"-"
71315,"Tree Ring Enclosure",N,"-",1,N,"-"
71316,"Trinitarian Priory",N,"Use both terms.",1,N,"-"
71318,"Unenclosed Cremation Cemetery",N,"-",1,N,"-"
71319,"Unenclosed Stone Hut Circle Settlement",N,"-",1,N,"-"
71320,"Unenclosed Urnfield",N,"-",1,N,"-"
71321,"VACCARY",Y,"A monastic cattle ranch with associated buildings, paddocks and pastures.",1,P,"-"
71324,"VENTILATION SHAFT",Y,"A shaft designed to allow for the adequate circulation of air through a transport tunnel, for example.",1,P,"-"
71326,"Minor Villa",N,"-",1,N,"-"
71327,"Winged Corridor Villa",N,"-",1,N,"-"
71329,"WAGONWAY",Y,"An early form of railway for the transportation of freight by wagons on rails on a road.",1,P,"-"
71332,"Water Plant",N,"-",1,N,"-"
71333,"Watershed Reave",N,"-",1,N,"-"
71335,"WEALDEN HOUSE",Y,"A medieval house with central open hall and two storey bays, jettied at first floor level, on either side.",1,P,"-"
71337,"Winged Corridor House",N,"-",1,N,"-"
71338,"Wire Works",N,"-",1,N,"-"
71339,"Woodland Earthworks",N,"-",1,N,"-"
71344,"COMMUNICATIONS",N,"Sites, buildings, structures & features associated with the transmission & receiving of information. Includes signalling, broadcasting & telecommunications; does not include transport except where there is a specific connection with communication.",1,P,"-"
71357,"WAITING ROOM",Y,"A room used by those who have to wait at railway or bus stations, etc.",1,P,"-"
71358,"Headstone",N,"-",1,N,"-"
71359,"OFFICE",Y,"A building or room where business, administrative or professional activities are conducted. Use specific type where known.",1,P,"-"
71360,"Cattle Shed",N,"-",1,N,"-"
71361,"CATTLE SHELTER",Y,"An open sided building known to have been used for sheltering cattle.",1,P,"-"
71362,"HOVEL",Y,"A rough shelter or dwelling, sometimes used to house cattle.",1,P,"-"
71363,"TRAIN SHED",Y,"A canopy or building to cover the platforms in a railway station.",1,P,"-"
71364,"RAILWAY HOTEL",Y,"A hotel adjacent to a railway terminus. Railway hotels were often owned by a railway company.",1,P,"-"
71365,"BOOKING OFFICE",Y,"An establishment where tickets/reservations for events, journeys or entrance to a site can be purchased.",1,P,"-"
71366,"UNDERGROUND RAILWAY STATION",Y,"A stopping place on an underground railway system where passengers can board and disembark from a train.",1,P,"-"
71367,"BREWHOUSE",Y,"An outbuilding containing brewing equipment, as opposed to a large commercial BREWERY. Often found in conjunction with public houses, country houses etc.",1,P,"-"
71368,"WATERMILL",Y,"A mill whose machinery is driven by water.",1,P,"-"
71369,"SHIRE HALL",Y,"A county judicial building where the Quarter Session and the Assizes for the County were held.",1,P,"-"
71370,"Police Store",N,"-",1,N,"-"
71371,"TERRACE",Y,"A row of houses attached to and adjoining one another and planned and built as one unit.",1,P,"-"
71372,"GATE PIER",Y,"A pier of brick, masonry, etc, to which the hinges of a gate are attached.",1,P,"-"
71373,"FOOTBRIDGE",Y,"A narrow bridge for people and animals to cross on foot.",1,P,"-"
71374,"STOREHOUSE",Y,"A building in which goods or items are stored. Use more specific type where known.",1,P,"-"
71375,"SPINNING SHOP",Y,"A workshop in which textile fibres were spun into yarn by hand.",1,P,"-"
71376,"GARDEN BUILDING",Y,"Includes some structures that are not strictly buildings. Use a more specific term where possible.",1,P,"-"
71377,"GARAGE",Y,"Use only for buildings which house motor vehicles. Includes garages for vehicle repair. For petrol sales use PETROL STATION.",1,P,"-"
71378,"LOCK KEEPERS COTTAGE",Y,"The residence of a lock-keeper.",1,P,"-"
71379,"CANTEEN",Y,"A self-service dining room, especially for workers/employees; also in institutions, such as schools, hospitals, etc.",1,P,"-"
71380,"WEAVING SHED",Y,"A textile-weaving factory housing powerlooms; commonly a one-storeyed shed with wide, north-light roof carried on iron columns.",1,P,"-"
71381,"LOOMSHOP",Y,"The room housing the looms in a domestic handloom weavers cottage. In general, wool loomshops were above the living quarters, whereas cotton loomshops were often below in a cellar, since the floor was usually kept damp to aid the weaving of the cotton.",1,P,"-"
71382,"Ciderhouse",N,"-",1,N,"-"
71384,"FIELD BARN",Y,"An isolated barn, cow house or shelter shed with a hayloft. Typically found in areas where farmsteads and fields were sited at a long distance from each other.",1,P,"-"
71386,"BALUSTRADE",Y,"A row of balusters, usually made of stone, surmounted by a rail or coping.",1,P,"-"
71387,"SCULPTURE",Y,"A figurative or abstract design in the round or in relief, made by chiselling stone, carving wood, modelling clay, casting metal, or similar processes.",1,P,"-"
71389,"Monument",N,"-",1,N,"-"
71390,"TOLLBOOTH",Y,"A booth, shed or stall erected at the side of a road, canal, bridge or gate where a toll must be paid.",1,P,"-"
71391,"CURTAIN WALL",Y,"A wall between two towers or pavilions, usually surrounding a building, and often forming a major part of the defences.",1,P,"-"
71392,"GARDEN TERRACE",Y,"A flat, level area of ground within a garden. Often raised and accessed by steps.",1,P,"-"
71393,"ELEPHANT HOUSE",Y,"A building used to accommodate elephants at a zoo or wildlife park.",1,P,"-"
71394,"WEAVERS COTTAGE",Y,"A type of clothier's house, consisting of TOPSHOP and dwelling, used for hand-weaving of textiles.",1,P,"-"
71395,"Tomb Chest",N,"-",1,N,"-"
71396,"LAITHE",Y,"A building combining a cow-house with crop storage space.",1,P,"-"
71397,"Stock House",N,"-",1,N,"-"
71398,"ESTATE COTTAGE",Y,"A cottage for workers on a country house estate.",1,P,"-"
71400,"Village Kitchen",N,"Use both terms.",1,N,"-"
71401,"SPORTS CENTRE",Y,"A specially built building where facilities exist for the playing of a variety of sports.",1,P,"-"
71402,"LOGGIA",Y,"A covered arcade, often attached to a building, open on one or more sides.",1,P,"-"
71403,"Millers House",N,"-",1,N,"-"
71404,"WALLED GARDEN",Y,"A garden surrounded by a substantial wall.",1,P,"-"
71405,"POOL",Y,"A small body of water, either natural or artificial.",1,P,"-"
71406,"LAITHE HOUSE",Y,"A laithe with an attached house.",1,P,"-"
71407,"Cowhouse",N,"-",1,N,"-"
71408,"HAYLOFT",Y,"A loft over a stable or barn used for storing hay.",1,P,"-"
71409,"ICEHOUSE",Y,"A structure, partly underground, for the preservation of ice for use during warmer weather.",1,P,"-"
71410,"MILKING SHED",Y,"A building in which cows are milked.",1,P,"-"
71411,"CHAFF HOUSE",Y,"An area within a building (usually the barn or stable) for storing husks from the grain crop (chaff) for animal feed after it has been threshed and winnowed in the barn.",1,P,"-"
71412,"TACK ROOM",Y,"A room or building in which riding tackle is stored.",1,P,"-"
71413,"WATER PUMP",Y,"A point of public water supply, including conduits, fountains, wells, pumps and standpipes.",1,P,"-"
71415,"RESEARCH STATION",Y,"A building, group of buildings or installation in which scientific experiments are carried out.",1,P,"-"
71416,"SCHOOL HOUSE",Y,"A building appropriated by a school for the purpose of teaching pupils.",1,P,"-"
71417,"TEA HOUSE",Y,"A refreshment house in a public park or country house garden.",1,P,"-"
71419,"VESTRY",Y,"A room or part of a church where the vestments, vessels and records are kept.",1,P,"-"
71420,"Cross Shaft",N,"-",1,N,"-"
71421,"CROSSING KEEPERS COTTAGE",Y,"A house for the keeper of a level crossing on a railway.",1,P,"-"
71422,"SHED",Y,"A slight structure built for shelter or storage, or for use as a workshop, either attached as a lean-to to a permanent building or separate. Use more specific type where known.",1,P,"-"
71423,"ANIMAL SHED",Y,"A building in which animals are housed. For non agricultural use see ANIMAL HOUSE and narrow terms in RECREATIONAL class.",1,P,"-"
71424,"READING ROOM",Y,"A room in a library or institution providing periodicals, newspapers, etc.",1,P,"-"
71425,"WASH HOUSE",Y,"A building where clothes are washed.",1,P,"-"
71426,"Salt Shed",N,"-",1,N,"-"
71428,"LABORATORY",Y,"A group of buildings or rooms equipped with apparatus for scientific experiments or other research, testing and investigations.",1,P,"-"
71432,"INSTITUTE",Y,"A building in which a society or organization is instituted to promote science, art, literature, education, etc. Use more specific type where known.",1,P,"-"
71433,"CHRISTIAN ASSOCIATION HOSTEL",Y,"A hostel owned by a Christian association which provides cheap accommodation for young people.",1,P,"-"
71434,"PUBLIC LIBRARY",Y,"A library for use of the public.",1,P,"-"
71435,"Postern Gate",N,"-",1,N,"-"
71436,"GRAIN DRIER",Y,"A building or room within a granary used to dry grain. Often consisting of an oven with a refractory-brick drying floor above, on which the grain was placed.",1,P,"-"
71438,"Cow Shed",N,"-",1,N,"-"
71439,"HOP STORE",Y,"A place where hops are stored.",1,P,"-"
71440,"MINIATURE RAILWAY",Y,"A small-scale railway, often for the transportation of children at a place of recreation.",1,P,"-"
71441,"BUS STATION",Y,"A building and open area from which buses, usually those working local or regional services, begin or end their journeys.",1,P,"-"
71442,"SHELTER SHED",Y,"An open-sided building known to have been used for sheltering animals other than cattle.",1,P,"-"
71443,"SERVICE WING",Y,"A building or wing of a large house in which the servants would live and carry out some of their duties.",1,P,"-"
71444,"JUVENILE PRISON",Y,"A custodial institution for offenders below the legal age of responsibility.",1,P,"-"
71447,"SUNDAY SCHOOL",Y,"A school in which instruction is given on a Sunday, especially such a school for children connected with a parish or congregation.",1,P,"-"
71448,"BANK BARN",Y,"A multi-purpose, two-storey barn, built on a hillside with entrances at both levels to a first floor threshing barn and ground floor animal housing.",1,P,"-"
71451,"Parish Room",N,"-",1,N,"-"
71452,"Bakers Shop",N,"Use both terms.",1,N,"-"
71453,"HOUSING ESTATE",Y,"A residential district planned as a unit.",1,P,"-"
71454,"CHAPEL OF EASE",Y,"A church built within the bounds of a parish for the attendance of those who cannot reach the parish church conveniently.",1,P,"-"
71455,"LOCAL GOVERNMENT OFFICE",Y,"A building which houses the administrative functions of a local authority.",1,P,"-"
71457,"LINHAY",Y,"A two storied open fronted structure comprising a cattle or cart shelter on the ground floor with a hayloft above. Most common in South West England.",1,P,"-"
71458,"RAILWAY SIDING",Y,"A short piece of track lying parallel to the main railway line enabling trains and trucks to pass one another. Sidings can also be used to park trains which are not in use.",1,P,"-"
71459,"RETORT HOUSE",Y,"Central functional building of a gas works. Coal is roasted in retorts producing gas and coke.",1,P,"-"
71460,"PURIFIER",Y,"A machine used in a mill to remove bran scales and flour from grits or middlings.",1,P,"-"
71461,"Old Peoples Home",N,"-",1,N,"-"
71462,"MORTUARY CHAPEL",Y,"A place of worship at the site of a mortuary.",1,P,"-"
71463,"DEBTORS PRISON",Y,"A prison for the confinement of people who owe money.",1,P,"-"
71465,"YOUTH HOSTEL",Y,"A place where (young) holiday-makers and hikers can be put up cheaply for the night.",1,P,"-"
71467,"BARK HOUSE",Y,"A building used for storing tree bark.",1,P,"-"
71469,"FERRYKEEPERS COTTAGE",Y,"The residence of a ferrykeeper.",1,P,"-"
71470,"Mistal",N,"-",1,N,"-"
71471,"LOOSE BOX",Y,"A separate compartment for livestock in which they are free to move about.",1,P,"-"
71472,"Tidemill",N,"-",1,N,"-"
71473,"CHARITY SCHOOL",Y,"A school established by a charity.",1,P,"-"
71474,"Spa Building",N,"-",1,N,"-"
71475,"CEMETERY LODGE",Y,"A small house or cottage at the entrance to a cemetery, usually occupied by a caretaker or gardener, etc.",1,P,"-"
