THE_TE_UID_1,THE_TE_UID_2
93592,68959
71307,68959
91339,68959
91340,68959
93602,68960
70572,68961
70988,68964
70990,68964
90980,68969
71400,68969
92685,68969
93008,68969
92293,68969
92107,68971
92108,68971
92109,68971
91900,68971
92858,68971
71777,68971
87695,68971
71804,68973
70962,68973
92675,68973
92674,68973
91779,68973
71203,68975
171340,68975
71226,68976
70940,68977
70666,68977
68992,68977
140224,68977
70840,68981
70991,68986
71319,68987
71050,68988
71109,68990
71234,68994
70878,68996
71108,68998
68993,68998
71024,68999
70996,69001
71147,69001
71400,69001
99966,69002
99965,69004
99964,69005
71256,69005
71260,69006
71261,69006
91187,69008
93403,69010
91981,69012
91249,69012
91051,69012
91080,69013
70880,69013
91893,69013
93294,69013
93732,69013
93772,69015
92852,69015
92082,69018
93249,69020
92162,69022
93464,69023
71022,69024
71069,69024
71122,69032
71027,69033
92072,69037
94008,69038
100194,69041
71315,69044
71314,69046
90993,69048
93499,69048
162713,69048
91015,69049
70487,69049
91217,69052
94396,69056
162986,69063
78192,69063
93054,69068
162955,69068
170110,69070
92159,69071
71246,69072
93347,69073
93348,69073
93444,69077
71297,69079
70555,69081
70694,69084
71141,69086
70917,69088
91215,69088
70916,69091
92126,69091
92128,69092
93165,69092
91190,69092
71163,69093
70820,69093
70674,69093
92533,69093
69437,69094
91568,69097
162952,69097
91524,69098
91787,69099
92635,69099
93368,69099
70807,69099
87472,69100
93500,69100
91803,69100
92802,69101
78148,69101
70849,69101
71107,69101
92797,69104
92798,69105
92374,69108
92799,69109
71007,69109
71012,69110
71013,69110
71112,69111
70987,69112
70549,69115
69300,69116
92801,69116
93451,69117
92543,69118
91900,69118
87810,69118
94395,69118
91273,69121
91471,69122
91473,69122
91602,69124
91732,69125
70798,69125
91253,69128
91229,69128
92409,69133
91950,69133
91945,69133
93360,69133
93485,69138
70528,69138
91202,69140
91203,69140
91344,69141
91441,69144
91411,69144
70725,69146
87662,69149
162982,69149
70923,69150
70937,69152
70938,69152
69151,69152
94052,69156
100542,69156
71128,69157
78195,69157
71129,69158
92877,69159
71153,69161
71060,69162
71224,69165
71228,69167
71230,69167
140087,69167
170899,69168
92054,69175
91048,69176
143537,69176
70584,69179
70585,69180
70586,69180
70587,69180
91214,69180
92315,69183
92316,69183
103873,69184
70995,69200
71015,69203
91800,69203
70634,69204
91325,69204
94185,69204
170852,69206
92391,69210
91221,69211
91266,69212
70650,69215
91380,69216
91076,69218
71037,69218
92459,69218
92460,69218
91599,69218
93355,69218
93390,69221
92411,69221
92412,69221
92013,69221
93374,69222
93375,69222
83350,69222
87657,69223
87661,69223
93603,69223
93426,69225
92011,69225
92012,69225
70883,69225
71005,69236
71008,69237
69243,69244
91070,69245
84617,69245
93352,69245
93140,69245
91845,69247
71154,69247
69248,69247
91299,69252
70633,69254
92457,69259
93439,69259
92816,69259
71003,69263
93135,69266
69269,69268
69293,69271
69294,69271
93357,69271
92461,69271
91622,69271
93356,69272
92042,69274
71020,69274
93695,69274
130373,69278
69282,69283
87824,69288
71257,69288
71266,69292
162893,69292
162895,69292
71281,69297
93427,69297
71338,69301
71273,69302
93381,69302
91505,69307
92069,69313
91512,69317
91894,69317
71294,69317
129042,69317
129038,69317
129039,69317
93848,69318
163052,69319
87648,69320
70900,69321
70901,69321
70902,69321
92047,69321
93652,69321
93781,69321
71237,69323
71274,69326
94403,69326
94403,69328
94422,69328
94423,69328
129040,69328
71472,69332
93256,69332
70486,69333
71081,69337
92890,69340
92638,69343
71555,69343
93819,69343
162876,69346
71083,69347
70802,69356
87676,69357
92344,69362
91738,69362
92105,69365
87466,69365
162979,69365
162980,69365
70913,69366
70911,69367
70992,69369
70822,69369
70823,69369
87476,69369
91839,69369
91840,69369
91786,69370
92638,69370
93040,69370
87804,69370
71280,69373
71212,69375
71575,69377
97184,69377
94015,69377
130013,69378
93801,69380
170050,69385
91539,69386
92546,69389
71821,69389
92159,69392
91238,69400
71288,69401
92234,69401
71287,69402
91197,69404
91198,69404
91199,69404
91200,69404
91201,69404
93489,69406
93450,69409
92283,69410
129041,69414
93332,69418
93477,69420
93380,69420
93376,69420
91146,69420
93837,69421
93839,69421
93797,69422
93417,69422
91621,69422
91801,69422
91838,69422
93571,69426
91119,69427
91474,69431
91571,69435
91874,69435
92930,69435
91324,69435
93819,69435
93865,69439
91222,69439
93042,69439
92202,69440
91691,69450
91738,69451
91742,69451
91743,69451
91746,69451
91748,69451
91749,69451
87804,69451
87684,69452
71837,69452
91777,69452
91756,69453
91757,69453
91758,69453
91760,69453
91753,69453
91754,69453
70951,69456
166983,69456
171231,69456
92482,69459
171235,69461
70831,69464
71183,69465
93258,69466
93349,69468
92387,69469
87678,69469
87771,69469
87820,69469
86504,69470
93799,69470
93785,69660
99593,69715
99594,69715
71152,69715
91269,69715
91584,69715
91582,69715
70554,69929
91223,69935
162974,69936
91475,69938
91841,69938
92911,69938
92912,69938
70716,69939
163054,69939
162994,69939
162992,69939
162993,69939
92721,69941
93483,69941
91596,69941
91877,69942
91668,69944
92002,69944
93402,69944
92892,69946
92847,69946
74792,69946
71089,69952
93063,69952
92067,69954
93457,69957
93550,69957
93553,69957
92949,69957
70503,69962
91035,69962
162832,69962
169931,69963
91137,69964
91170,69965
70573,69965
70575,69965
91503,69965
91613,69967
91666,69967
92106,69967
92016,69967
92828,69967
92590,69967
93486,69967
70685,69967
70686,69967
69972,69967
91158,69967
91163,69967
71583,69967
71654,69967
71655,69967
71650,69967
71714,69967
93741,69967
93685,69967
122502,69968
70684,69970
93098,69973
92026,69973
91726,69973
91878,69973
91826,69973
93998,69973
94186,69973
92686,69975
70661,69975
70578,69975
70537,69975
91391,69975
91392,69975
70663,69978
70664,69978
70696,69980
71017,69980
90977,69980
92768,69980
93005,69980
91614,69980
91589,69980
92038,69980
92039,69980
93686,69980
71420,69987
70761,69987
70762,69987
70764,69987
70765,69987
70766,69987
70767,69987
70769,69987
69989,69987
70627,69990
92557,69990
70706,69992
70771,69994
94046,69998
162962,69998
70983,70000
70959,70000
71021,70000
70557,70000
70559,70000
70066,70003
70067,70003
70067,70004
70066,70004
70819,70006
70013,70008
71213,70010
71220,70010
94022,70010
70013,70011
70013,70014
70013,70015
70013,70016
71277,70017
70022,70018
70665,70018
71002,70018
94022,70018
99653,70024
70652,70026
70653,70026
70697,70029
70985,70031
162852,70033
70868,70035
70023,70036
142072,70040
70557,70044
70066,70046
70067,70046
70073,70046
70067,70047
70066,70047
94017,70049
70671,70053
70672,70053
70625,70053
70866,70053
70925,70053
71101,70053
91310,70053
91416,70053
71277,70054
71220,70054
70560,70054
71318,70056
70059,70057
71320,70058
69983,70061
69984,70061
69989,70061
162953,70061
167864,70063
93048,70063
93049,70063
70624,70064
70680,70064
70681,70064
70682,70064
70683,70064
71073,70064
70742,70064
99654,70068
99656,70069
91360,70070
91233,70070
70702,70071
70703,70071
91666,70078
92004,70083
92469,70083
71358,70083
70960,70085
97476,70087
159205,70088
71087,70089
92879,70092
92880,70092
93095,70092
71395,70093
94391,70093
91118,70094
99671,70096
70957,70097
70999,70100
71000,70100
71001,70100
70817,70100
93226,70102
93227,70102
93050,70107
99560,70107
167863,70107
171223,70109
170903,70110
170904,70110
170905,70110
99655,70113
159201,70114
90981,70116
70784,70117
70738,70119
71085,70119
70669,70119
70704,70120
70616,70120
70576,70120
70540,70120
70535,70120
70525,70120
70717,70120
70894,70120
90977,70120
90978,70120
90980,70120
90979,70120
90975,70120
90976,70120
71301,70120
71233,70120
71170,70120
71655,70120
93581,70120
92348,70120
91912,70120
91614,70120
91613,70120
92413,70122
92417,70123
70667,70124
142003,70124
91102,70125
91175,70126
91522,70129
92118,70130
92991,70131
70669,70134
70738,70134
70535,70135
70536,70135
70616,70137
70881,70138
91990,70138
70910,70139
70895,70140
92039,70140
92040,70140
92038,70140
92666,70144
70773,70145
70774,70145
70654,70150
70127,70150
70669,70152
70738,70152
71648,70152
71772,70152
92682,70152
92683,70152
92684,70152
92686,70152
92685,70152
70536,70153
70537,70153
70540,70153
70541,70153
70538,70153
70539,70153
70535,70153
70525,70153
70526,70153
70576,70154
70578,70154
70577,70154
70579,70154
70591,70155
91234,70155
91235,70155
70655,70156
70656,70156
70704,70157
70705,70157
70717,70158
70718,70158
91520,70158
70910,70159
70921,70160
92140,70160
92990,70161
71170,70161
71171,70161
71233,70162
71301,70163
71302,70163
93581,70163
93583,70163
71316,70164
71097,70165
70738,70165
70669,70165
92768,70165
142003,70165
70535,70166
70538,70166
70536,70166
70579,70167
70577,70167
70576,70167
70704,70168
70705,70168
70718,70169
70717,70169
91520,70169
70800,70170
70894,70171
151268,70171
71171,70172
92990,70172
71263,70173
92986,70174
92415,70175
92416,70175
70728,70175
70978,70175
92419,70176
91912,70177
91613,70177
91614,70177
93005,70177
93006,70177
93004,70177
93007,70177
93008,70177
93009,70177
70921,70177
70718,70177
70705,70177
70800,70177
70910,70177
70881,70177
70655,70177
70578,70177
70579,70177
70537,70177
70538,70177
70539,70177
70541,70177
70526,70177
71263,70177
71171,70177
71316,70177
71302,70177
71655,70177
91392,70177
70200,70178
70201,70179
71135,70180
71225,70181
71086,70185
71079,70185
71116,70185
71072,70185
71056,70185
93225,70185
71282,70188
71269,70190
71028,70190
71030,70190
71031,70190
70731,70190
99671,70190
94017,70191
70893,70192
92390,70195
97476,70196
71298,70198
93792,70202
141992,70202
141248,70203
70955,70203
70961,70203
70479,70205
162712,70207
160507,70209
70480,70209
140322,70212
140182,70212
140183,70212
70614,70214
70615,70214
91288,70214
90976,70214
92683,70214
93488,70215
122503,70216
90962,70219
70675,70223
93666,70225
152509,70228
70953,70229
71633,70229
92483,70232
164119,70232
70844,70237
70845,70237
70919,70239
71192,70240
71186,70241
71043,70241
91743,70241
93409,70241
91501,70243
70246,70245
70944,70247
71194,70247
71592,70249
140194,70249
91311,70256
70626,70256
92792,70256
70651,70259
91369,70259
71735,70259
71553,70260
91372,70260
91373,70260
70971,70263
70972,70263
71094,70263
70481,70264
91252,70264
78316,70264
71209,70264
70811,70266
70812,70266
162854,70266
171339,70267
159173,70268
92844,70268
71308,70269
71231,70270
78489,70270
70743,70270
70619,70270
92154,70277
92163,70277
91507,70278
93321,70278
71305,70281
71306,70282
71221,70283
70932,70283
70934,70283
92167,70283
92168,70283
70643,70288
70644,70288
70645,70288
71837,70288
91340,70288
91339,70288
70515,70309
68772,70309
68763,70309
68761,70309
68764,70311
71088,70315
70597,70323
70598,70323
70599,70323
70600,70323
70602,70331
70603,70331
70604,70331
70605,70331
70592,70331
92560,70331
121273,70331
91754,70332
70892,70336
93600,70341
91775,70342
91493,70342
93742,70342
93102,70343
171288,70345
71750,70349
91538,70350
91533,70350
70783,70352
70907,70354
70841,70354
70470,70354
141997,70354
70511,70355
70779,70355
140397,70361
140398,70361
140397,70362
71201,70364
71621,70370
92056,70370
91756,70371
92684,70371
93006,70371
71706,70371
90978,70371
87810,70371
69983,70371
69972,70371
90979,70372
91381,70372
71648,70372
93007,70372
91757,70372
92106,70372
92040,70372
171207,70372
70739,70374
70740,70374
164121,70375
164123,70375
70791,70376
71047,70378
70471,70378
70472,70379
70473,70380
71092,70382
71093,70382
70734,70382
164002,70382
159172,70384
94212,70384
70666,70384
70665,70384
71276,70390
170853,70392
70740,70396
71142,70398
68993,70401
68992,70401
68982,70401
171341,70403
171342,70403
171343,70403
171344,70403
71786,70405
92025,70405
92667,70405
171345,70407
171346,70407
171347,70407
171349,70407
171350,70407
171351,70407
171352,70407
170900,70409
103874,70410
171337,70412
71264,70412
71265,70412
70474,70412
70760,70412
71727,70413
71555,70413
91273,70413
93398,70413
91760,70413
170841,70414
91367,70417
92436,70419
91746,70422
140298,70425
93799,70426
91748,70426
93009,70426
70853,70426
69984,70426
71299,70428
93832,70428
93398,70429
91804,70429
91633,70430
91331,70432
91061,70432
91062,70432
70289,70432
70647,70432
91150,70433
91152,70433
162978,70436
70804,70441
70805,70441
91785,70441
70806,70443
70874,70445
70875,70445
70871,70445
70872,70445
70794,70445
91972,70445
94325,70445
93342,70449
91162,70449
71174,70450
71175,70450
71707,70450
93037,70450
93038,70450
91742,70454
93291,70458
71243,70459
71207,70460
70715,70460
70794,70462
91818,70462
171334,70462
93404,70465
92538,70465
71332,70466
71691,70466
93775,70466
93769,70466
93770,70466
162877,70467
71208,70467
92837,70467
70491,70488
70536,70490
70577,70490
92990,70490
93583,70490
91520,70490
91990,70490
92140,70490
70497,70498
91289,70566
91251,70595
91806,70612
70636,70635
69145,70720
91324,70720
91573,70720
91571,70720
91568,70720
91569,70720
92930,70720
140085,70720
68616,70741
70444,70810
91915,70810
97259,70810
70872,70873
70875,70873
70874,70873
71011,70905
93950,70905
93951,70905
162983,70918
68562,70918
93328,70920
162572,70920
70942,70943
83211,70943
71772,70976
93323,70976
93235,70976
92963,70976
92966,70976
93011,70976
91912,70976
93851,70976
70613,70981
140771,70998
169969,70998
92476,71041
92301,71054
92509,71054
93178,71054
71479,71054
142002,71099
171336,71132
92889,71132
91424,71182
71181,71182
92513,71191
70246,71193
69169,71202
69169,71229
143177,71229
91796,71278
93448,71283
91488,71311
70307,71324
91014,71324
91011,71324
93963,71324
93710,71324
93761,71359
93863,71359
162714,71359
87824,71359
91272,71359
