TH_T_U_UID,TERM,CLA_GR_UID,BROAD_TERM_U_UID,TOP_TERM_U_UID
131528,DOMESTIC,1,,131528
131530,KITCHEN,1,131528,131528
131532,ABBOTS SUMMER PALACE,1,134998,131528
131533,ADULTERINE CASTLE,1,131576,143383
131534,AGGREGATE VILLAGE,1,131673,131528
131535,FARM LABOURERS COTTAGE,1,135169,131528
131536,AISLED HALL HOUSE,1,131655,131528
131537,AISLED HOUSE,1,131655,131528
131538,APARTMENT,1,134997,131528
131540,ARCHBISHOPS PALACE,1,134998,131528
131541,ARCHDEACONRY,1,131574,131528
131542,STUDIO HOUSE,1,135169,131528
131543,ASH PIT,1,135300,135088
131544,TOPSHOP,1,135392,132062
131546,BACK TO BACK HOUSE,1,131754,131528
131547,BACK TO BACK TERRACE,1,131753,131528
131548,BACK TO EARTH TERRACE,1,131753,131528
131549,BANJO ENCLOSURE,1,134003,134003
131550,BARK PEELERS HUT,1,131554,131528
131551,FARMHOUSE,1,135169,131528
131552,BASE CRUCK HOUSE,1,131613,131528
131553,BASTLE,1,131637,131528
131554,HUT,1,134997,131528
131556,BISHOPS PALACE,1,134998,131528
131557,BISHOPS SUMMER PALACE,1,131556,131528
131558,BIVALLATE HILLFORT,1,131601,131528
131559,SMITHS COTTAGE,1,134971,131528
131560,BLIND BACK HOUSE,1,131754,131528
131561,BLIND BACK TERRACE,1,131753,131528
131563,BURNT MOUND,1,131528,131528
131564,BOTHY,1,135011,131528
131565,BOX FRAME HOUSE,1,131756,131528
131566,WORKERS COTTAGE,1,134971,131528
131567,BRIDGE KEEPERS COTTAGE,1,135112,131528
131568,BUNGALOW,1,135169,131528
131569,BURH,1,131625,131528
131570,LONGHOUSE,1,135169,131528
131571,CANAL WORKERS COTTAGE,1,135112,131528
131572,LOCK KEEPERS COTTAGE,1,135112,131528
131573,TOLL HOUSE,1,135112,131528
131574,CLERGY HOUSE,1,131585,131528
131576,CASTLE,1,143383,143383
131577,KEEP,1,131576,143383
131578,MOTTE,1,131576,143383
131579,CHALET,1,135169,131528
131580,CHARCOAL BURNERS HUT,1,131554,131528
131581,CHARTIST COLONY HOUSE,1,135169,131528
131582,CHARTIST LAND COLONY,1,135007,131528
131584,CIVITAS CAPITAL,1,131760,131528
131585,CLERICAL DWELLING,1,135169,131528
131586,CLIFF CASTLE,1,131718,131528
131587,CLOTHES LINE ENCLOSURE,1,131625,131528
131588,CLOTHIERS HOUSE,1,134971,131528
131589,CLUSTER BLOCK,1,134996,131528
131590,CLUSTER HOUSE,1,134996,131528
131591,COACHMANS COTTAGE,1,135112,131528
131592,WORKERS VILLAGE,1,131673,131528
131593,COAL SHED,1,135522,135088
131594,COLONIA,1,131760,131528
131597,COMMUNAL BAKEHOUSE,1,135275,131528
131598,CONCENTRIC CASTLE,1,131576,143383
131599,CONSTRUCTION CAMP,1,131653,131528
131600,CONTINUOUS JETTY HOUSE,1,131676,131528
131601,HILLFORT,1,131625,131528
131604,COTTAGE ORNEE,1,131811,131783
131605,COUNCIL HOUSE,1,135169,131528
131606,COUNCIL FLATS,1,131782,131528
131607,COUNTRY HOUSE,1,135169,131528
131608,COURTYARD HOUSE,1,135169,131528
131609,CRANNOG,1,131653,131528
131610,CROSS PASSAGE HOUSE,1,135169,131528
131611,CROSS WING HOUSE,1,131655,131528
131612,CROSSING KEEPERS COTTAGE,1,135112,131528
131613,CRUCK HOUSE,1,131756,131528
131615,DEANERY,1,131574,131528
131616,LARDER,1,131528,131528
131617,DETACHED HOUSE,1,135169,131528
131618,KENNELS,1,131528,131528
131619,SEMI DETACHED HOUSE,1,135169,131528
131620,DOUBLE ENDED HALL HOUSE,1,131655,131528
131621,DOWER HOUSE,1,135169,131528
131622,ENCLOSED HUT CIRCLE SETTLEMENT,1,131625,131528
131625,ENCLOSED SETTLEMENT,1,131653,131528
131627,END GABLED HOUSE,1,131641,131528
131629,END JETTY HOUSE,1,131676,131528
131630,ESTATE COTTAGE,1,135169,131528
131631,ESTATE LAUNDRY,1,135878,131528
131632,ESTATE VILLAGE,1,135007,131528
131634,FERRYKEEPERS COTTAGE,1,135112,131528
131635,FIRST FLOOR HALL HOUSE,1,131655,131528
131636,FISH HOUSE,1,135098,134003
131637,FORTIFIED HOUSE,1,135169,131528
131638,FORTIFIED MANOR HOUSE,1,131637,131528
131639,FRAMEWORK KNITTERS COTTAGE,1,134971,131528
131640,FRONT GABLED HOUSE,1,131641,131528
131641,GABLED HOUSE,1,135169,131528
131642,GALLERIED ROW,1,131730,131528
131643,GALLERIED ROW HOUSE,1,131731,131528
131644,GAME LARDER,1,131616,131528
131645,GARDEN SUBURB,1,202709,131528
131646,GARDEN VILLAGE,1,131673,131528
131647,GRADUATE HOUSE,1,133472,131528
131648,GREAT HOUSE,1,135169,131528
131650,GRUBENHAUS,1,131528,131528
131651,GUEST COTTAGE,1,135169,131528
131652,GUEST HOUSE,1,135011,131528
131653,SETTLEMENT,1,131528,131528
131654,SINGLE ENDED WEALDEN HOUSE,1,131773,131528
131655,HALL HOUSE,1,135169,131528
131658,HAMLET,1,131653,131528
131660,HILLTOP ENCLOSURE,1,131625,131528
131661,MOAT,1,131528,131528
131662,HOSIERS COTTAGE,1,134971,131528
131664,HOUSING ESTATE,1,131653,131528
131665,HOVEL,1,134997,131528
131666,HUNTING LODGE,1,131528,131528
131667,HUT CIRCLE,1,131554,131528
131668,HUT CIRCLE SETTLEMENT,1,131653,131528
131669,HUT PLATFORM,1,135291,143383
131670,HYPOCAUST,1,131528,131528
131671,ICEHOUSE,1,131528,131528
131672,INCLINE KEEPERS COTTAGE,1,135112,131528
131673,VILLAGE,1,131653,131528
131674,DESERTED SETTLEMENT,1,131653,131528
131675,KEEP AND BAILEY CASTLE,1,131576,143383
131676,JETTIED HOUSE,1,131756,131528
131677,LACEMAKERS COTTAGE,1,135392,132062
131678,LAITHE HOUSE,1,135169,131528
131679,LAKE VILLAGE,1,131653,131528
131680,MULTIVALLATE HILLFORT,1,131601,131528
131681,UNIVALLATE HILLFORT,1,131601,131528
131682,LENGTHMANS COTTAGE,1,135112,131528
131683,LINEAR SETTLEMENT,1,131653,131528
131684,LOG CABIN,1,134997,131528
131685,MAISONETTE,1,134997,131528
131687,MANOR HOUSE,1,135169,131528
131688,MANSE,1,131574,131528
131689,MANSION FLATS,1,131782,131528
131691,MERCHANTS HOUSE,1,135169,131528
131692,MEWS,1,134996,131528
131693,MIDDEN,1,131528,131528
131694,MIGRATED VILLAGE,1,131673,131528
131696,MORAVIAN SETTLEMENT,1,135007,131528
131697,MOTTE AND BAILEY,1,131576,143383
131698,MUNICIPIUM,1,131760,131528
131699,NAILERS ROW,1,144943,132062
131701,OPEN HALL HOUSE,1,131655,131528
131702,UNENCLOSED SETTLEMENT,1,131653,131528
131703,OPEN SITE,1,131653,131528
131706,PALISADED SETTLEMENT,1,131625,131528
131708,PELE TOWER,1,131637,131528
131709,PILE DWELLING,1,134997,131528
131711,PORTERS LODGE,1,135290,135088
131714,PRIESTS HOUSE,1,131574,131528
131717,PRISON GOVERNORS HOUSE,1,135169,131528
131718,PROMONTORY FORT,1,131625,131528
131719,PROVOSTS HOUSE,1,131585,131528
131720,RAILWAY WORKERS COTTAGE,1,135112,131528
131721,RANGERS HOUSE,1,135169,131528
131723,RUBBISH PIT,1,131528,131528
131724,RESORT VILLAGE,1,131673,131528
131725,RINGWORK,1,131576,143383
131726,RINGWORK AND BAILEY,1,131576,143383
131727,ROCK CUT DWELLING,1,134997,131528
131728,ROCK SHELTER,1,135509,143383
131729,ROUND,1,131625,131528
131730,ROW,1,134996,131528
131731,ROW HOUSE,1,135169,131528
131732,ROYAL PALACE,1,134998,131528
131733,TEACHERS HOUSE,1,135169,131528
131734,SCOOPED SETTLEMENT,1,131653,131528
131735,SHIELING,1,131528,131528
131736,SHELL MIDDEN,1,131693,131528
131737,SHEPHERDS HUT,1,131554,131528
131738,SHIFTED VILLAGE,1,131673,131528
131739,SHRUNKEN VILLAGE,1,131673,131528
131740,SINGLE AISLED HOUSE,1,131537,131528
131741,SINGLE ENDED HALL HOUSE,1,131655,131528
131742,WASH HOUSE,1,131528,131528
131743,SOUTERRAIN,1,131528,131528
131745,SQUATTER SETTLEMENT,1,131653,131528
131746,STATION MASTERS HOUSE,1,135112,131528
131747,STEPPED TERRACE,1,131753,131528
131748,STILLING HOUSE,1,131528,131528
131750,TACK ROOM,1,134003,134003
131751,TENANTS HALL,1,135011,131528
131752,TENEMENT,1,131653,131528
131753,TERRACE,1,134996,131528
131754,TERRACED HOUSE,1,135169,131528
131755,THROUGH BY LIGHT,1,131546,131528
131756,TIMBER FRAMED HOUSE,1,135169,131528
131757,TOFT,1,135169,131528
131758,UTOPIAN COMMUNITY VILLAGE,1,131673,131528
131759,TOWER HOUSE,1,131637,131528
131760,TOWN,1,131653,131528
131761,TOWN HOUSE,1,135169,131528
131763,TREASURERS HOUSE,1,135169,131528
131764,UNENCLOSED HUT CIRCLE SETTLEMENT,1,131668,131528
131767,VERDERERS COTTAGE,1,135169,131528
131769,VICARAGE,1,131574,131528
131770,VICUS,1,131653,131528
131771,VILL,1,131653,131528
131772,WATERWORKS COTTAGE,1,135169,131528
131773,WEALDEN HOUSE,1,131655,131528
131774,WEALDEN TERRACE,1,131753,131528
131775,WEAVERS COTTAGE,1,134971,131528
131776,WHARFINGERS COTTAGE,1,134691,131528
131777,WOOD SHED,1,135101,135088
131778,MODEL DWELLING,1,134997,131528
131779,TENEMENT BLOCK,1,134996,131528
131780,TENEMENT HOUSE,1,134996,131528
131781,COUNCIL FLAT,1,214398,131528
131782,FLATS,1,134996,131528
131783,GARDENS PARKS AND URBAN SPACES,1,,131783
131784,ALLOTMENT,1,131783,131783
131785,COMMON LAND,1,131783,131783
131786,BALUSTRADE,1,131783,131783
131787,FENCE,1,143803,143383
131788,KISSING GATE,1,131783,131783
131789,GATE PIER,1,135088,135088
131790,GRILLE,1,131783,131783
131791,HA HA,1,131783,131783
131792,PALISSADE,1,131783,131783
131793,PARK PALE,1,131783,131783
131794,PATIO,1,131783,131783
131795,BOUNDARY WALL,1,135295,143383
131796,GARDEN WALL,1,131783,131783
131797,PARK WALL,1,131783,131783
131798,SERPENTINE WALL,1,131796,131783
131799,WALLED GARDEN,1,131898,131783
131800,BANQUETING HOUSE,1,131811,131783
131801,BELVEDERE,1,131811,131783
131802,BOAT HOUSE,1,131811,131783
131803,ROCK BRIDGE,1,135934,131783
131804,SHELL BRIDGE,1,135934,131783
131805,CASCADE HOUSE,1,131811,131783
131806,CASINO,1,135324,133551
131807,COLONNADE,1,143763,135088
131808,COLUMN,1,143763,135088
131809,EXEDRA,1,131811,131783
131810,FOUNTAIN HOUSE,1,131811,131783
131811,GARDEN BUILDING,1,131783,131783
131812,GARDEN HOUSE,1,131811,131783
131813,GARDEN RETREAT,1,131783,131783
131814,GARDEN SHED,1,131811,131783
131815,GARDEN TEMPLE,1,131811,131783
131816,DORIC TEMPLE,1,131815,131783
131817,IONIC TEMPLE,1,131815,131783
131818,OCTAGONAL TEMPLE,1,131815,131783
131819,GAZEBO,1,131811,131783
131820,GLASSHOUSE,1,131811,131783
131821,CAMELLIA HOUSE,1,131820,131783
131822,CONSERVATORY,1,131820,131783
131823,FERNERY (GLASSHOUSE),1,131820,131783
131824,HOTHOUSE,1,131820,131783
131825,ORANGERY,1,131820,131783
131826,PALM HOUSE,1,131820,131783
131827,PINERY,1,131820,131783
131828,TEMPERATE HOUSE,1,131820,131783
131829,VINERY,1,131820,131783
131830,WATER LILY HOUSE,1,131820,131783
131831,GROTTO,1,131783,131783
131832,SHELL GROTTO,1,131831,131783
131833,HERBARIUM,1,131811,131783
131834,ICEHOUSE,1,131811,131783
131835,FISHING LODGE,1,131811,131783
131836,GATE LODGE,1,131811,131783
131837,LOGGIA,1,131811,131783
131838,ORCHARD HOUSE,1,131820,131783
131839,PAGODA,1,131811,131783
131840,PAVILION,1,131783,131783
131842,CHINESE PAVILION,1,131840,131783
131843,FISHING PAVILION,1,131840,131783
131844,MOORISH PAVILION,1,131840,131783
131845,REFRESHMENT PAVILION,1,131840,131783
131846,WATER PAVILION,1,131840,131783
131847,POTTING SHED,1,131811,131783
131848,PROSPECT TOWER,1,131811,131783
131849,ROTUNDA,1,131811,131783
131851,FERME ORNEE,1,131811,131783
131853,LAITERIE,1,131811,131783
131854,MOSS HOUSE,1,131811,131783
131855,ROOT HOUSE,1,131811,131783
131856,SWISS COTTAGE,1,131811,131783
131857,TREE HOUSE,1,131811,131783
131858,SHELTER,1,143383,143383
131859,PARK SHELTER,1,131783,131783
131860,SUMMERHOUSE,1,131811,131783
131861,DRIVE,1,131783,131783
131862,GARDEN PATH,1,131783,131783
131863,GRAVEL PATH,1,134325,134198
131864,SERPENTINE PATH,1,131869,131783
131865,PROMENADE,1,131869,131783
131866,STEPS,1,135363,134198
131867,GARDEN STEPS,1,131783,131783
131868,TURFED STEPS,1,131867,131783
131869,WALK,1,131783,131783
131870,ALLEE,1,131869,131783
131872,LIME WALK,1,131869,131783
131873,SERPENTINE WALK,1,131869,131783
131874,TERRACED WALK,1,131869,131783
131875,YEW WALK,1,131869,131783
131876,AVIARY,1,131783,131783
131877,BANDSTAND,1,131783,131783
131878,BIRD BATH,1,135170,131783
131879,BUST,1,131890,131783
131880,GARDEN SEAT,1,135170,131783
131881,CAMOMILE SEAT,1,131880,131783
131882,TURFED SEAT,1,131880,131783
131883,HERM,1,135170,131783
131884,OBELISK,1,135170,131783
131885,ARBOUR,1,131813,131783
131886,TUNNEL ARBOUR,1,131885,131783
131887,PERGOLA,1,131783,131783
131888,TRELLIS,1,131783,131783
131889,BERCEAU,1,131888,131783
131890,SCULPTURE,1,135170,131783
131891,SPHINX,1,135170,131783
131892,STATUE,1,131890,131783
131893,URN,1,135170,131783
131894,VASE,1,135170,131783
131895,SUNDIAL,1,135170,131783
131896,SUNSHINE RECORDER,1,135170,131783
131898,GARDEN,1,131783,131783
131899,ALPINE GARDEN,1,131898,131783
131900,AMERICAN GARDEN,1,131898,131783
131902,BOG GARDEN,1,131898,131783
131903,BOTANIC GARDEN,1,131898,131783
131904,CHINESE GARDEN,1,131898,131783
131905,COLLEGE GARDEN,1,131898,131783
131906,COMMUNITY GARDEN,1,131898,131783
131907,COTTAGE GARDEN,1,131898,131783
131908,DUTCH GARDEN,1,131898,131783
131909,EGYPTIAN GARDEN,1,131898,131783
131910,FLOWER GARDEN,1,131898,131783
131911,ROSE GARDEN,1,131910,131783
131912,FORMAL GARDEN,1,131898,131783
131913,FRAGRANCE GARDEN,1,131898,131783
131914,HEATHER GARDEN,1,131898,131783
131915,HERB GARDEN,1,131898,131783
131916,ITALIAN GARDEN,1,131898,131783
131917,JAPANESE GARDEN,1,131898,131783
131918,KITCHEN GARDEN,1,131898,131783
131919,KNOT GARDEN,1,131898,131783
131920,MOORISH GARDEN,1,131898,131783
131921,NURSERY GARDEN,1,134133,134003
131922,PHYSIC GARDEN,1,131898,131783
131923,ROCK GARDEN,1,131898,131783
131924,SCULPTURE GARDEN,1,131898,131783
131925,SUNKEN GARDEN,1,131898,131783
131926,SWISS GARDEN,1,131898,131783
131927,TERRACED GARDEN,1,131898,131783
131928,TOPIARY GARDEN,1,131898,131783
131929,TUDOR GARDEN,1,131898,131783
131930,VEGETABLE GARDEN,1,131898,131783
131931,WATER GARDEN,1,131898,131783
131932,WHITE GARDEN,1,131898,131783
131933,WILD GARDEN,1,131898,131783
131934,YEW GARDEN,1,131898,131783
131935,ARTIFICIAL MOUND,1,131783,131783
131936,PROSPECT MOUND,1,131935,131783
131937,BANK (EARTHWORK),1,135305,143383
131938,EMBANKMENT,1,143383,143383
131939,ISLAND,1,131783,131783
131940,MEADOW,1,134133,134003
131941,PARK,1,131783,131783
131942,DEER PARK,1,131941,131783
131943,HUNTING PARK,1,131941,131783
131944,LANDSCAPE PARK,1,131941,131783
131945,ROYAL PARK,1,131941,131783
131946,ARBORETUM,1,131898,131783
131947,PINETUM,1,131898,131783
131948,CARPET BED,1,131949,131783
131949,FLOWER BED,1,202812,131783
131950,RAISED BED,1,131949,131783
131952,BORDER,1,131783,131783
131953,HERBACEOUS BORDER,1,131952,131783
131954,MIXED BORDER,1,131952,131783
131955,ROSE BORDER,1,131952,131783
131956,SHRUB BORDER,1,131952,131783
131957,BOSQUET,1,131970,131783
131958,CABINET,1,131898,131783
131961,HEDGE,1,143803,143383
131962,LAWN,1,131783,131783
131963,CAMOMILE LAWN,1,131962,131783
131964,TERRACED LAWN,1,131962,131783
131965,MAZE,1,131783,131783
131966,HEDGE MAZE,1,131965,131783
131967,ORCHARD,1,131976,131783
131968,PARTERRE,1,131898,131783
131969,PERCEE,1,131869,131783
131970,SHRUBBERY,1,131783,131783
131971,TREE ENCLOSURE RING,1,131783,131783
131973,TREE MOUND,1,131783,131783
131974,TREE RING,1,131783,131783
131976,MANAGED WOODLAND,1,131783,131783
131980,CROQUET LAWN,1,131962,131783
131981,BENCH,1,135171,131783
131982,BOLLARD,1,135171,131783
131983,CANNON BOLLARD,1,135171,131783
131984,BOOT SCRAPER,1,135171,131783
131986,BOUNDARY MARKER,1,135295,143383
131987,BOUNDARY PLATE,1,131986,143383
131988,BOUNDARY POST,1,131986,143383
131989,BOUNDARY STONE,1,131986,143383
131990,CANNON,1,135171,131783
131991,COAL HOLE COVER,1,135171,131783
131993,FIRE HYDRANT,1,135171,131783
131994,FLAGPOLE,1,135171,131783
131995,FOUNTAIN,1,202809,131783
131997,HOARDING (FENCING),1,135171,131783
131998,STREET LAMP,1,135171,131783
131999,GAS LAMP,1,131998,131783
132000,LAMP BRACKET,1,135171,131783
132001,LAMP POST,1,135171,131783
132002,LETTER BOX,1,135171,131783
132004,MILEPOST,1,135171,131783
132005,MILESTONE,1,135171,131783
132006,MOUNTING BLOCK,1,135171,131783
132007,PARKING METER,1,135171,131783
132008,PEDESTRIAN CROSSING,1,135171,131783
132010,PLAGUE STONE,1,135171,131783
132011,POLICE BOX,1,135171,131783
132012,POLICE TELEPHONE PILLAR,1,135171,131783
132013,PORTERS REST,1,131783,131783
132014,WAYSIDE PUMP,1,134457,134417
132015,ROADSIDE LIGHTHOUSE,1,135171,131783
132016,SEDAN CHAIR LIFT,1,135171,131783
132017,BUS SHELTER,1,135171,131783
132018,INN SIGN,1,135171,131783
132019,ROAD SIGN,1,135171,131783
132021,TELEGRAPH POLE,1,135171,131783
132022,TELEPHONE BOX,1,135171,131783
132024,TETHERING POST,1,135171,131783
132025,TRAFFIC LIGHTS,1,135171,131783
132026,TROUGH,1,135171,131783
132027,DOG TROUGH,1,132026,131783
132028,HORSE TROUGH,1,132026,131783
132029,WATCHMANS BOX,1,135171,131783
132030,WEIGHING MACHINE,1,135171,131783
132031,ZEBRA CROSSING,1,132008,131783
132032,CATHEDRAL CLOSE,1,131783,131783
132033,CIRCUS (URBAN),1,135172,131783
132034,COURTYARD,1,131783,131783
132035,CRESCENT,1,131783,131783
132036,CUL DE SAC,1,131783,131783
132037,MARKET PLACE,1,135172,131783
132038,SQUARE,1,135172,131783
132039,SHOPPING PRECINCT,1,135172,131783
132040,ROND POINT,1,135647,131783
132041,PRIVATE SQUARE,1,132038,131783
132042,PUBLIC SQUARE,1,132038,131783
132043,VILLAGE GREEN,1,131783,131783
132044,LAKE,1,202809,131783
132045,BOATING LAKE,1,132044,131783
132047,LILY POND,1,134441,134417
132048,SWANNERY POND,1,134441,134417
132049,POOL,1,131783,131783
132050,SWIMMING POOL,1,132049,131783
132051,SPRING,1,144723,134417
132052,STREAM,1,134476,134417
132053,CASCADE,1,202809,131783
132054,DIPPING WELL,1,134477,134417
132055,SHELL FOUNTAIN,1,131995,131783
132056,NYMPHAEUM,1,131831,131783
132057,TRICK FOUNTAIN,1,131995,131783
132058,AQUEDUCT,1,134476,134417
132059,GARDEN BASIN,1,135170,131783
132060,CANAL,1,134476,134417
132061,CONDUIT,1,134476,134417
132062,INDUSTRIAL,1,,132062
132063,ARCHITECTURAL ORNAMENT WORKSHOP,1,135392,132062
132064,BUILDERS YARD,1,135392,132062
132065,BLUNGING PIT,1,135451,132062
132066,BRICK DRYING SHED,1,135451,132062
132068,BRICKEARTH PIT,1,132073,132062
132069,BRICKFIELD,1,135451,132062
132070,BRICKWORKS,1,135451,132062
132071,BRICKYARD,1,135451,132062
132072,CLAY MILL,1,135451,132062
132073,CLAY PIT,1,135451,132062
132074,CLAY PUDDLING PIT,1,135451,132062
132075,FIRE CLAY WORKS,1,135451,132062
132076,KILN,1,132062,132062
132078,BRICK KILN,1,132076,132062
132079,LIME KILN,1,132076,132062
132080,TILE KILN,1,132428,132062
132082,MOULDING HOUSE,1,135451,132062
132083,PUG MILL,1,135451,132062
132084,TILE WORKS,1,135451,132062
132085,CEMENT KILN,1,135426,132062
132086,CEMENT SILO,1,135426,132062
132087,CEMENT WORKS,1,135426,132062
132088,MORTAR MILL,1,135428,132062
132089,PLASTER MILL,1,135428,132062
132090,PLASTER WORKS,1,135428,132062
132091,ROTARY KILN,1,135428,132062
132092,GRAVEL PIT,1,135417,132062
132093,SAND PIT,1,135417,132062
132094,DRESSING SHED,1,132062,132062
132095,QUARRY,1,135418,132062
132096,GRANITE QUARRY,1,135480,132062
132097,GYPSUM QUARRY,1,135480,132062
132098,LIMESTONE QUARRY,1,135480,132062
132099,MARBLE QUARRY,1,135480,132062
132100,SANDSTONE QUARRY,1,135480,132062
132101,SHALE QUARRY,1,135480,132062
132102,SLATE QUARRY,1,135480,132062
132103,QUARRY HOIST,1,132062,132062
132104,STONE CRUSHING PLANT,1,132835,132062
132105,STONE DISPATCH BUILDING,1,135418,132062
132106,STONE DRESSING FLOOR,1,132835,132062
132108,CASTING HOUSE,1,135410,132062
132109,GLASS CONE,1,135427,132062
132110,GLASS WORKING SITE,1,135427,132062
132111,GLASS WORKS,1,135427,132062
132112,PLATE GLASS WORKS,1,132111,132062
132113,STAINED GLASS WORKSHOP,1,135427,132062
132115,BALL CLAY WORKS,1,135429,132062
132116,BLUNGING PIT,1,135429,132062
132117,CHINA CLAY WORKS,1,135429,132062
132118,CLAY TOBACCO PIPE FACTORY,1,135429,132062
132119,CLAY PIPE KILN,1,135429,132062
132120,CLAY PIT,1,135429,132062
132121,CLAY PUDDLING PIT,1,135429,132062
132122,COLOUR MILL,1,135386,132062
132123,CRATEMAKERS SHOP,1,144983,132062
132124,DECORATING SHOP,1,135429,132062
132125,DIPPING HOUSE,1,135429,132062
132126,FIRE CLAY WORKS,1,135429,132062
132127,FLINT MILL,1,135429,132062
132128,HANDLING HOUSE,1,135429,132062
132129,MOULD STORE,1,135429,132062
132130,MOULDMAKERS SHOP,1,135429,132062
132131,MUFFLE KILN,1,135429,132062
132132,MUG HOUSE,1,135429,132062
132133,PACKING HOUSE,1,132062,132062
132134,PIPE WORKSHOP,1,135429,132062
132136,POTTERY KILN,1,135429,132062
132137,POTTERY WORKS,1,135429,132062
132138,POTTERY WORKSHOP,1,135429,132062
132139,PUG MILL,1,135429,132062
132140,SAGGAR MAKERS WORKSHOP,1,135429,132062
132142,THROWING HOUSE,1,135429,132062
132143,TILEMAKING WORKSHOP,1,135451,132062
132144,CRAFT CENTRE,1,135392,132062
132146,CLOTH DRY HOUSE,1,135443,132062
132147,FLAX DRY HOUSE,1,135441,132062
132148,WOOL DRY HOUSE,1,132888,132062
132149,YARN DRY HOUSE,1,135438,132062
132150,DRYING HOUSE,1,132062,132062
132151,EXTRACTIVE PIT,1,132062,132062
132152,BALL CLAY WORKS,1,135416,132062
132153,BELL PIT,1,132168,132062
132155,BRICKEARTH PIT,1,132158,132062
132156,BRINE PIT,1,135415,132062
132157,CHALK PIT,1,135415,132062
132158,CLAY PIT,1,135416,132062
132159,COAL WORKINGS,1,132168,132062
132161,COPPER WORKINGS,1,132151,132062
132162,DENE HOLE,1,132151,132062
132163,FULLERS EARTH PIT,1,132151,132062
132164,GRAVEL PIT,1,132151,132062
132165,JET WORKINGS,1,135415,132062
132166,LEAD WORKINGS,1,132151,132062
132167,MARL PIT,1,132151,132062
132168,MINERAL PIT,1,132151,132062
132169,OCHRE PIT,1,135415,132062
132170,SAND PIT,1,132151,132062
132171,STONE AXE FACTORY,1,136809,132062
132172,STREAMWORK,1,135412,132062
132173,FACTORY,1,132388,132062
132174,AIRCRAFT FACTORY,1,132988,132062
132175,BICYCLE FACTORY,1,135396,132062
132177,BLACKING FACTORY,1,132173,132062
132178,BRUSH FACTORY,1,132173,132062
132179,CANDLE FACTORY,1,132173,132062
132180,CANNING FACTORY,1,132190,132062
132181,CAR FACTORY,1,135397,132062
132182,CARRIAGE WORKS,1,135397,132062
132183,CHEESE FACTORY,1,132190,132062
132184,CHINA FACTORY,1,135429,132062
132185,CHOCOLATE FACTORY,1,132190,132062
132186,CLOTHING FACTORY,1,132173,132062
132187,COACH WORKS,1,135397,132062
132188,FISH PROCESSING FACTORY,1,132190,132062
132189,FLOORCLOTH FACTORY,1,132173,132062
132190,FOOD PROCESSING PLANT,1,132173,132062
132191,FURNITURE FACTORY,1,132173,132062
132192,GLOVE FACTORY,1,132186,132062
132193,GLUE FACTORY,1,135380,132062
132194,HAT FACTORY,1,135516,132062
132195,HORSEHAIR FACTORY,1,202776,132062
132196,HOSIERY FACTORY,1,135516,132062
132197,LEATHER FACTORY,1,132846,132062
132198,LINOLEUM FACTORY,1,132173,132062
132199,LORRY FACTORY,1,135397,132062
132200,MATCH FACTORY,1,132173,132062
132202,MODEL FACTORY,1,132173,132062
132203,MOTOR CYCLE FACTORY,1,135397,132062
132204,MUNITIONS FACTORY,1,132173,132062
132205,MUSICAL INSTRUMENT FACTORY,1,132173,132062
132206,NAIL FACTORY,1,132173,132062
132208,ORDNANCE FACTORY,1,132173,132062
132209,ORGAN FACTORY,1,132205,132062
132210,PAINT FACTORY,1,132173,132062
132211,PIANO FACTORY,1,132205,132062
132212,PIN FACTORY,1,132173,132062
132213,RAILWAY CARRIAGE WORKS,1,135395,132062
132215,SHOE FACTORY,1,132186,132062
132216,SOAP FACTORY,1,135380,132062
132217,SUPERPHOSPHATE FACTORY,1,145643,132062
132218,SWORD FACTORY,1,132173,132062
132219,TENEMENT FACTORY,1,132173,132062
132220,TOBACCO FACTORY,1,132173,132062
132221,TOY FACTORY,1,132173,132062
132222,WALLPAPER FACTORY,1,132173,132062
132223,WAX FACTORY,1,132173,132062
132225,FIREPROOF FACTORY,1,132173,132062
132226,NORTH LIGHT FACTORY,1,132173,132062
132227,FACTORY UNIT,1,132173,132062
132228,ALE STORE,1,135399,132062
132229,BREWERY,1,135399,132062
132230,COOLING ROOM,1,135399,132062
132231,COOPERAGE,1,135399,132062
132232,COPPER ROOM,1,135399,132062
132233,FERMENTING BLOCK,1,135399,132062
132234,HOP KILN,1,135399,132062
132235,HOP STORE,1,135399,132062
132236,MALT HOUSE,1,135399,132062
132237,MALT KILN,1,135399,132062
132238,MALTINGS,1,135399,132062
132239,OASTHOUSE,1,135399,132062
132240,RACKING ROOM,1,135399,132062
132241,UNION ROOM,1,135399,132062
132242,VAT HALL,1,135399,132062
132243,DISTILLERY,1,135400,132062
132244,DISTILLATION BLOCK,1,135400,132062
132245,MASH HOUSE,1,135399,132062
132246,STILL HOUSE,1,135400,132062
132247,BAKERY,1,135402,132062
132248,BOTTLING PLANT,1,135401,132062
132249,CANNING FACTORY,1,135401,132062
132251,CHICORY KILN,1,132257,132062
132253,COLD STORE,1,135401,132062
132254,CONDENSERY,1,135402,132062
132256,CURING HOUSE,1,135401,132062
132257,FOOD DRYING KILN,1,135401,132062
132258,FOOD PROCESSING PLANT,1,135402,132062
132259,FLOUR MILL,1,135402,132062
132260,ICE WORKS,1,135401,132062
132262,MUSTARD MILL,1,132190,132062
