source_file,subject_id,subject_label,object_id,object_label,subject_label_norm,object_label_norm,predicate_id,predicate,mapping_justification,similarity_emb_full,similarity_emb_norm,similarity_str_levenshtein_full,similarity_str_jaro_winkler_full,similarity_str_token_sort_full,similarity_str_token_set_full,similarity_str_levenshtein_norm,similarity_str_jaro_winkler_norm,similarity_str_token_sort_norm,similarity_str_token_set_norm
ads_eh_tbm_aat.sssom.tsv,fish_tbm:/concepts/97722,ASHLAR,aat:300011701,ashlar,ASHLAR,ashlar,skos:closeMatch,closeMatch,semapv:UnspecifiedMatching,0.810547,0.810547,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtbbOKgxaFFc,umbo,aat:300222460,umbos,umbo,umbos,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.810059,0.810059,0.888889,0.960000,0.888889,0.888889,0.888889,0.960000,0.888889,0.888889
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtiqoxXEO1L0,histoire militaire,aat:300249450,military history,histoire militaire,military history,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.807129,0.807129,0.470588,0.606481,0.823529,0.823529,0.470588,0.606481,0.823529,0.823529
ads_eh_tmt2_aat.sssom.tsv,fish_tmt2:/concepts/69980,Abbey Church,aat:300007495,abbey churches,Abbey Church,abbey churches,skos:closeMatch,closeMatch,semapv:UnspecifiedMatching,0.800293,0.800293,0.923077,0.971429,0.923077,0.923077,0.923077,0.971429,0.923077,0.923077
dai_aat.sssom.tsv,http://thesauri.dainst.org/_6583d13d,Phryger,aat:300019715,Phrygian,Phryger,Phrygian,skos:closeMatch,closeMatch,semapv:UnspecifiedMatching,0.799316,0.799316,0.666667,0.867857,0.666667,0.666667,0.666667,0.867857,0.666667,0.666667
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrt1tSmMf0Tw8,fibule,aat:300209303,fibulae,fibule,fibulae,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.798828,0.798828,0.923077,0.971429,0.923077,0.923077,0.923077,0.971429,0.923077,0.923077
dai_aat.sssom.tsv,http://thesauri.dainst.org/_6d543ff9,urban,aat:300130893,urban areas,urban,urban areas,skos:closeMatch,closeMatch,semapv:UnspecifiedMatching,0.798828,0.798828,0.625000,0.890909,0.625000,1.000000,0.625000,0.890909,0.625000,1.000000
dai_aat.sssom.tsv,http://thesauri.dainst.org/_950aa627,Atriumhaus,aat:300005451,atrium houses,Atriumhaus,atrium houses,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.798828,0.798828,0.782609,0.918462,0.782609,0.782609,0.782609,0.918462,0.782609,0.782609
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtZoPEeqKhas,cippe,aat:300006963,cippi,cippe,cippi,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.797852,0.797852,0.800000,0.920000,0.800000,0.800000,0.800000,0.920000,0.800000,0.800000
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtjpqBTfmY7d,taphonomie,aat:300379641,taphonomy,taphonomie,taphonomy,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.797363,0.797363,0.842105,0.937778,0.842105,0.842105,0.842105,0.937778,0.842105,0.842105
