count	namespace_root
3	http://dewey.info/class/631.27/
3	http://dewey.info/class/633/
3	http://dewey.info/class/666.737/
3	http://dewey.info/class/669/
3	http://dewey.info/class/712/
3	http://dewey.info/class/714/
3	http://dewey.info/class/725.35/
3	http://dewey.info/class/725.38/
3	http://dewey.info/class/725.98/
3	http://dewey.info/class/728.37/
3	http://dewey.info/class/728.5/
3	http://dewey.info/class/728.8/
3	http://dewey.info/class/728.81/
3	http://dewey.info/class/728.9/
3	http://dewey.info/class/728.922/
3	http://dewey.info/class/796.06/
3	http://dewey.info/class/797/
3	http://vocab.getty.edu//aat/
3	http://vocab.getty.edu/page/
3	http://www.drze.de/BELIT/thesaurus/
3	https://ark.notre-dame.science/ark:/35572/
3	https://data.bnf.fr/fr/ark:/12148/
3	https://fr.wiktionary.org/wiki/
3	https://imperium.ahlfeldt.se/places/
3	https://viaf.org/viaf/130147166/
3	https://vocab.getty.edu/page/aat/
3	https://www.geonames.org/10282620/
3	https://www.geonames.org/12495728/
3	https://www.geonames.org/3176443/
3	https://www.geonames.org/347422/
3	https://www.geonames.org/349608/
3	https://www.geonames.org/350422/
3	https://www.geonames.org/350492/
3	https://www.geonames.org/362239/
3	https://www.geonames.org/7729892/
3	https://www.geonames.org/7913721/
3	https://www.geonames.org/9294069/
3	https://www.mindat.org/
3	ttp://vocab.getty.edu/aat/
2	http://data.bnf.fr/fr/
2	http://dewey.info/class/246.558/
2	http://dewey.info/class/332/
2	http://dewey.info/class/356/
2	http://dewey.info/class/621.21/
2	http://dewey.info/class/622.342/
2	http://dewey.info/class/622.354/
2	http://dewey.info/class/624.2/
2	http://dewey.info/class/625.73/
2	http://dewey.info/class/635/
2	http://dewey.info/class/663.3/
2	http://dewey.info/class/665.53/
2	http://dewey.info/class/671/
2	http://dewey.info/class/674.2/
2	http://dewey.info/class/682/
2	http://dewey.info/class/694/
2	http://dewey.info/class/711/
2	http://dewey.info/class/712.5/
2	http://dewey.info/class/712.6/
2	http://dewey.info/class/721.41/
2	http://dewey.info/class/722.7/
2	http://dewey.info/class/725.21/
2	http://dewey.info/class/725.55/
2	http://dewey.info/class/725.597/
2	http://dewey.info/class/725.6/
2	http://dewey.info/class/725.72/
2	http://dewey.info/class/725.73/
2	http://dewey.info/class/725.804/
2	http://dewey.info/class/725.827/
2	http://dewey.info/class/725.87/
2	http://dewey.info/class/725.96/
2	http://dewey.info/class/726.9/
2	http://dewey.info/class/727.3/
2	http://dewey.info/class/728.6/
2	http://dewey.info/class/735/
2	http://dewey.info/class/736/
2	http://dewey.info/class/791/
2	http://dewey.info/class/793/
2	http://heritagedata.org/live/schemes/mda_obj/concepts/
2	http://id.loc.gov/authorities/names/
2	http://id.nlm.nih.gov/mesh/
2	http://jmb.vocnet.org/
2	http://thesaurus.historicengland.org.uk/
2	http://thesaurus.mom.fr/opentheso/
2	http://vocabulary.wolterskluwer.de/arbeitsrecht/
2	http://www.geonames.org/
2	http://www.geonames.org/3171709/
2	http://www.geonames.org/358422/
2	http://www.idref.fr/027243052/
2	http://www.idref.fr/027266125/
2	http://xtree-public.digicult-verbund.de/vocnet/?uriVocItem=http://obg.vocnet.org/
2	http://zbw.eu/stw/versions/latest/descriptor/13343-5/
2	https://id.loc.gov/authorities/names/
2	https://meshb.nlm.nih.gov/record/
2	https://sws.geonames.org/1024031/
2	https://sws.geonames.org/11281880/
2	https://sws.geonames.org/2497411/
2	https://sws.geonames.org/6612593/
2	https://sws.geonames.org/6617704/
2	https://sws.geonames.org/6690603/
2	https://whc.unesco.org/en/list/
2	https://www.geonames.org/10300436/
2	https://www.geonames.org/11217308/
2	https://www.geonames.org/11559414/
2	https://www.geonames.org/12233216/
2	https://www.geonames.org/1831948/
2	https://www.geonames.org/1831949/
2	https://www.geonames.org/263090/
2	https://www.geonames.org/3171796/
2	https://www.geonames.org/347368/
2	https://www.geonames.org/347930/
2	https://www.geonames.org/349333/
2	https://www.geonames.org/353494/
2	https://www.geonames.org/360502/
2	https://www.geonames.org/6540532/
2	https://www.geonames.org/734093/
2	https://www.geonames.org/8015161/
2	https://www.geonames.org/8081257/
2	https://www.geonames.org/8224690/
2	https://www.leonore.archives-nationales.culture.gouv.fr/ui/notice/
1	file:///home/mempellaenger/repos/thesaurusscience/DAI/
1	file:///home/mempellaenger/repos/thesaurusscience/Wortnetz/wikidata.org/wiki/
1	http://
1	http://catalogue.bnf.fr/ark:/12148/cb11960150x/
1	http://cdli.ox.ac.uk/wiki/
1	http://d-nb.info/gnd/4010384-5/about/
1	http://d-nb.info/gnd/4011510-0/about/
1	http://d-nb.info/gnd/4329581-2/about/
1	http://d-nb.info/gnd/4480980-3/about/
1	http://data.bnf.fr/11930926/peinture_a_l_aquarelle/
1	http://data.bnf.fr/11931695/chateaux_forts/
1	http://data.bnf.fr/11931803/couture/
1	http://data.bnf.fr/11931902/drapeaux/
1	http://data.bnf.fr/11932462/medecins/
1	http://data.bnf.fr/11933239/sculpteurs/
1	http://data.bnf.fr/11933892/moulins_a_eau/
1	http://data.bnf.fr/11938323/roches_sedimentaires/
1	http://data.bnf.fr/11945663/poivrons/
1	http://data.bnf.fr/11961094/gres/
1	http://data.bnf.fr/11961536/amphitheatres_romains/
1	http://data.bnf.fr/11969128/tailleurs_de_pierre/
1	http://data.bnf.fr/11981802/poivre/
1	http://data.bnf.fr/11982923/questionnaires/
1	http://data.bnf.fr/12264189/ministeres/
1	http://data.bnf.fr/12316395/balles_et_ballons/
1	http://data.bnf.fr/13162988/anniversaires/
1	http://data.bnf.fr/en/11931164/chateaux/
1	http://data.bnf.fr/en/11933134/pierres_precieuses/
1	http://data.bnf.fr/en/11933628/tricot/
1	http://data.bnf.fr/en/11941713/roches_metamorphiques/
1	http://data.bnf.fr/en/11944439/fibres_textiles/
1	http://data.bnf.fr/en/11952402/jade/
1	http://data.bnf.fr/en/11953342/veuves/
1	http://data.bnf.fr/en/11957098/grands-meres/
1	http://data.bnf.fr/en/11970791/mayonnaise/
1	http://data.bnf.fr/en/11976617/facteurs_d_instruments_de_musique/
1	http://data.bnf.fr/en/11995771/chateaux_royaux/
1	http://data.bnf.fr/en/12048823/chailles/
1	http://data.bnf.fr/en/12218096/calcite/
1	http://data.bnf.fr/en/14481139/grauwacke/
1	http://data.culture.fr/thesaurus/page/ark:/6771/
1	http://data.culture.fr/thesaurus/resource/ark:/
1	http://data.culture.fr/thesaurus/resource/ark:/67717/T505-3663/67717/
1	http://dewey.info/class/246/
1	http://dewey.info/class/302/
1	http://dewey.info/class/307.762/
1	http://dewey.info/class/307.764/
1	http://dewey.info/class/307.772/
1	http://dewey.info/class/338.176/
1	http://dewey.info/class/338.37244/
1	http://dewey.info/class/338.47637/
1	http://dewey.info/class/351/
1	http://dewey.info/class/355.31/
1	http://dewey.info/class/355.4/
1	http://dewey.info/class/355.44/
1	http://dewey.info/class/358.1382/
1	http://dewey.info/class/360/
1	http://dewey.info/class/362/
1	http://dewey.info/class/367/
1	http://dewey.info/class/382/
1	http://dewey.info/class/383/
1	http://dewey.info/class/384.65/
1	http://dewey.info/class/551.42-551.45/
1	http://dewey.info/class/551.42/
1	http://dewey.info/class/551.43/
1	http://dewey.info/class/551.447/
1	http://dewey.info/class/551.484/
1	http://dewey.info/class/551.498/
1	http://dewey.info/class/553.632/
1	http://dewey.info/class/610/
1	http://dewey.info/class/620.107/
1	http://dewey.info/class/621.183/
1	http://dewey.info/class/621.31/
1	http://dewey.info/class/621.312136/
1	http://dewey.info/class/621.38/
1	http://dewey.info/class/621.483/
1	http://dewey.info/class/621.64-621.69/
1	http://dewey.info/class/622.343/
1	http://dewey.info/class/622.344/
1	http://dewey.info/class/622.3452/
1	http://dewey.info/class/622.34629/
1	http://dewey.info/class/622.5/
1	http://dewey.info/class/623.1942/
1	http://dewey.info/class/623.73/
1	http://dewey.info/class/623.7348/
1	http://dewey.info/class/623.8176/
1	http://dewey.info/class/624.162/
1	http://dewey.info/class/624.1838/
1	http://dewey.info/class/624.193/
1	http://dewey.info/class/624.225/
1	http://dewey.info/class/624.23/
1	http://dewey.info/class/624.24/
1	http://dewey.info/class/625.734/
1	http://dewey.info/class/625.7342/
1	http://dewey.info/class/627.4/
1	http://dewey.info/class/627.8/
1	http://dewey.info/class/627.86/
1	http://dewey.info/class/628.1/
1	http://dewey.info/class/628.4/
1	http://dewey.info/class/629.1363/
1	http://dewey.info/class/631.2/
1	http://dewey.info/class/631.5/
1	http://dewey.info/class/634.11/
1	http://dewey.info/class/634.31/
1	http://dewey.info/class/635.9/
1	http://dewey.info/class/636.0811/
1	http://dewey.info/class/637/
1	http://dewey.info/class/641.58/
1	http://dewey.info/class/644/
1	http://dewey.info/class/660/
1	http://dewey.info/class/661/
1	http://dewey.info/class/662.624/
1	http://dewey.info/class/663/
1	http://dewey.info/class/664.9029/
1	http://dewey.info/class/666.436/
1	http://dewey.info/class/666.9/
1	http://dewey.info/class/666/
1	http://dewey.info/class/670/
1	http://dewey.info/class/672.2/
1	http://dewey.info/class/672.3/
1	http://dewey.info/class/673.4/
1	http://dewey.info/class/673.722/
1	http://dewey.info/class/675.2/
1	http://dewey.info/class/675/
1	http://dewey.info/class/676.122/
1	http://dewey.info/class/676/
1	http://dewey.info/class/677/
1	http://dewey.info/class/679/
1	http://dewey.info/class/686/
1	http://dewey.info/class/690.52/
1	http://dewey.info/class/690.58043/
1	http://dewey.info/class/691.97/
1	http://dewey.info/class/697.07/
1	http://dewey.info/class/697/
1	http://dewey.info/class/708/
1	http://dewey.info/class/716/
1	http://dewey.info/class/721.5/
1	http://dewey.info/class/725.1/
1	http://dewey.info/class/725.11/
1	http://dewey.info/class/725.14/
1	http://dewey.info/class/725.15/
1	http://dewey.info/class/725.16/
1	http://dewey.info/class/725.24/
1	http://dewey.info/class/725.31/
1	http://dewey.info/class/725.39/
1	http://dewey.info/class/725.51/
1	http://dewey.info/class/725.81/
1	http://dewey.info/class/725.822/
1	http://dewey.info/class/725.9/
1	http://dewey.info/class/726.1/
1	http://dewey.info/class/726.3/
1	http://dewey.info/class/726.4/
1	http://dewey.info/class/727.6/
1	http://dewey.info/class/727.84/
1	http://dewey.info/class/728.31/
1	http://dewey.info/class/728.312/
1	http://dewey.info/class/728.4/
1	http://dewey.info/class/728.924/
1	http://dewey.info/class/728.927/
1	http://dewey.info/class/731/
1	http://dewey.info/class/790/
1	http://dewey.info/class/791.8/
1	http://dewey.info/class/792/
1	http://dewey.info/class/799.312/
1	http://dewey.info/class/910/
1	http://en.wikipedia.org/wiki/
1	http://id.insee.fr/geo/pays/
1	http://id.insee.fr/geo/territoireFrancais/
1	http://id.loc.gov/authorities/
1	http://id.loc.gov/authorities/classification/
1	http://id.loc.gov/authorities/sh85020702#
1	http://id.loc.gov/authorities/sh85136742#
1	http://id.loc.gov/authorities/sh96010921#
1	http://id.loc.gov/vocabulary/graphicMaterials/
1	http://lod.nal.usda.gov/nalt/
1	http://partage.vocnet.org/html/
1	http://swb.bsz-bw.de/DB=2.104/SET=1/TTL=1/
1	http://swb.bsz-bw.de/DB=2.104/SET=10/TTL=1/
1	http://swb.bsz-bw.de/DB=2.104/SET=10/TTL=3/
1	http://swb.bsz-bw.de/DB=2.104/SET=2/TTL=1/
1	http://sws.geonames.org/2516477/
1	http://sws.geonames.org/2517690/
1	http://sws.geonames.org/2520630/
1	http://thesauri.dainst.org/_2650#
1	http://thesauri.dainst.org/_376#
1	http://thesauri.dainst.org/_3858#
1	http://ttps://glottolog.org/resource/languoid/id/
1	http://viaf.org/viaf/110161816325827721875/#
1	http://viaf.org/viaf/29920397/#
1	http://vocab.getty.edu/ia/
1	http://vocabularies.unesco.org/thesaurus/
1	http://whc.unesco.org/en/list/
1	http://www.eionet.europa.eu/gemet/
1	http://www.geonames.org/2472134/
1	http://www.geonames.org/251699/
1	http://www.geonames.org/3171606/
1	http://www.geonames.org/3171796/
1	http://www.geonames.org/3181917/
1	http://www.geonames.org/353494/
1	http://www.geonames.org/353851/
1	http://www.geonames.org/360964/
1	http://www.geonames.org/8224894/
1	http://www.geonames.org/8224895/
1	http://www.geonames.org/8337375/
1	http://www.iconclass.nl/libertas/
1	http://www.iconclass.org/rkd/25D4511%28%2B0%29/
1	http://www.iconclass.org/rkd/41A141/
1	http://www.iconclass.org/rkd/41D441/
1	http://www.iconclass.org/rkd/42E3711/
1	http://www.iconclass.org/rkd/43A1213/
1	http://www.iconclass.org/rkd/45D22/
1	http://www.iconclass.org/rkd/47H44/
1	http://www.idref.fr/026396009/
1	http://www.idref.fr/027156702/
1	http://www.idref.fr/027220583/
1	http://www.idref.fr/027221814/
1	http://www.idref.fr/027222772/
1	http://www.idref.fr/027229866/
1	http://www.idref.fr/027231305/
1	http://www.idref.fr/027232972/
1	http://www.idref.fr/027234290/
1	http://www.idref.fr/027239810/
1	http://www.idref.fr/027243346/
1	http://www.idref.fr/027244105/
1	http://www.idref.fr/027253724/
1	http://www.idref.fr/027254704/
1	http://www.idref.fr/027283143/
1	http://www.idref.fr/027285200/
1	http://www.idref.fr/027285480/
1	http://www.idref.fr/027306011/
1	http://www.idref.fr/02730616X/
1	http://www.idref.fr/027309606/
1	http://www.idref.fr/027312194/
1	http://www.idref.fr/027330141/
1	http://www.idref.fr/02734536X/
1	http://www.idref.fr/027353141/
1	http://www.idref.fr/027353524/
1	http://www.idref.fr/027372154/
1	http://www.idref.fr/027377156/
1	http://www.idref.fr/027426335/
1	http://www.idref.fr/027426483/
1	http://www.idref.fr/027427528/
1	http://www.idref.fr/027437620/
1	http://www.idref.fr/027439879/
1	http://www.idref.fr/027445070/
1	http://www.idref.fr/027458342/
1	http://www.idref.fr/02747772X/
1	http://www.idref.fr/027494977/
1	http://www.idref.fr/027505464/
1	http://www.idref.fr/027517683/
1	http://www.idref.fr/027529851/
1	http://www.idref.fr/027529908/
1	http://www.idref.fr/027555550/
1	http://www.idref.fr/027584038/
1	http://www.idref.fr/027600033/
1	http://www.idref.fr/027622975/
1	http://www.idref.fr/027629198/
1	http://www.idref.fr/027650987/
1	http://www.idref.fr/027675092/
1	http://www.idref.fr/027786587/
1	http://www.idref.fr/027793060/
1	http://www.idref.fr/027799565/
