section,source_uri,source_label,target_label,target_uri,match,skos_predicate
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTUAqOs2Jxt,marchand,merchants,http://vocab.getty.edu/aat/300025245,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTVvJEyAnuf,marché,markets (structures),http://vocab.getty.edu/aat/300005238,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtLuPqDA8Zhs,marmite,crockpots,http://vocab.getty.edu/aat/300199857,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtbUunFprb1b,marque,marks (symbols),http://vocab.getty.edu/aat/300028744,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtHFqkS7rixl,marque de carrier,marks (symbols),http://vocab.getty.edu/aat/300028744,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtzohrWZhuOl,marque de tâcheron,marks (symbols),http://vocab.getty.edu/aat/300028744,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt8FNS8EFJ6Q,marque sur amphore,stamps (marks),http://vocab.getty.edu/aat/300262844,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtUxWo09gzB6,marque sur brique,brick stamps,http://vocab.getty.edu/aat/300028783,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtdRWuuqSion,marque sur tuile,stamps (marks),http://vocab.getty.edu/aat/300262844,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtyNQzocZ6T0,marque sur vase,stamps (marks),http://vocab.getty.edu/aat/300262844,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt9oytlSrw3S,marteau,hammers (tools),http://vocab.getty.edu/aat/300024823,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtjYvhMVpH3Q,martelage,hammering (metal finishing),http://vocab.getty.edu/aat/300054098,exact match,exactMatch
